| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n |
| 1035 | SPAT0513-SLIT1035-DET01 |       513.1 |        0.246 |      3.00 |    4.590 |  0.30 |
| 1035 | SPAT0642-SLIT1035-DET01 |       642.1 |        0.308 |      3.00 |    5.211 |  0.31 |
| 1035 | SPAT0655-SLIT1035-DET01 |       655.2 |        0.315 |      3.00 |    5.295 |  0.48 |
| 1035 | SPAT0987-SLIT1035-DET01 |       987.4 |        0.477 |      3.00 |    0.566 | 29.92 |
| 1035 | SPAT1050-SLIT1035-DET01 |      1050.4 |        0.507 |      3.00 |    1.294 |  0.41 |
| 1035 | SPAT1159-SLIT1035-DET01 |      1159.4 |        0.561 |      3.00 |    5.064 |  0.69 |
| 1035 | SPAT1169-SLIT1035-DET01 |      1169.0 |        0.566 |      3.00 |    5.153 |  0.59 |
| 1035 | SPAT1563-SLIT1035-DET01 |      1563.2 |        0.757 |      3.00 |    1.260 |  0.65 |
| 1035 | SPAT1620-SLIT1035-DET01 |      1619.8 |        0.785 |      3.00 |    3.685 |  0.44 |
| 1035 | SPAT1670-SLIT1035-DET01 |      1669.7 |        0.809 |      3.00 |    1.352 |  0.37 |
