| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |    s2n |
| 1052 | SPAT0840-SLIT1052-DET01 |       839.8 |        0.398 |      3.00 |    2.501 |   0.88 |
| 1052 | SPAT0942-SLIT1052-DET01 |       941.5 |        0.447 |      3.00 |    0.561 | 236.54 |
| 1052 | SPAT1047-SLIT1052-DET01 |      1046.5 |        0.497 |      3.00 |    4.017 |   1.60 |
| 1052 | SPAT1057-SLIT1052-DET01 |      1057.0 |        0.502 |      3.00 |    9.994 |   1.73 |
| 1052 | SPAT1076-SLIT1052-DET01 |      1075.7 |        0.511 |      3.00 |   10.292 |   0.91 |
| 1052 | SPAT1111-SLIT1052-DET01 |      1111.3 |        0.528 |      3.00 |    1.489 |   0.91 |
| 1052 | SPAT1234-SLIT1052-DET01 |      1234.1 |        0.588 |      3.00 |    1.009 |   1.28 |
| 1052 | SPAT1375-SLIT1052-DET01 |      1375.1 |        0.655 |      3.00 |   11.925 |   0.97 |
| 1052 | SPAT1526-SLIT1052-DET01 |      1526.0 |        0.727 |      3.00 |    0.568 |  30.05 |
| 1052 | SPAT2056-SLIT1052-DET01 |      2056.1 |        0.982 |      3.00 |    8.170 |   1.22 |
