Name,dist_off,,Plan,JAB_off,Observing notes,Daming's notes,RA,DEC,JAB,Priority,ra_off,dec_off,Flag,Image_Note
J000032.495+023926.154,82.29724965,457.2069425,1,18.252875,No object in imaging,,0.1353953,2.6572649,19.632197,0.03435282593,0.1289643,2.635327,Nanni,
J005042.837+053916.442,43.93680007,244.0933337,,16.709282,,,12.678489,5.6545673,20.52283,0.001343620015,12.6667137,5.65115,Nanni,FW--Junk?
J011101.630+075642.215,47.13430173,261.8572319,1,17.84194,No object in imaging,,17.7567913,7.9450597,20.549113,0.005541790512,17.7688015,7.9395877,Nanni,
J011437.441+063557.077,51.19373106,284.409617,,17.941222,,,18.6560031,6.599188,20.948494,0.00132400819,18.6691209,6.6048821,Nanni,
J015111.628+101032.198,45.39209733,252.1783185,,17.844849,,,27.7984501,10.1756105,20.68133,0.003052154228,27.7864504,10.1711973,Nanni,FW--Junk?
J015440.954+112332.845,26.0845644,144.9142467,,18.293877,,,28.6706402,11.3924569,20.160612,0.002693795244,28.6697401,11.3996475,Nanni,FW--Fuzzy
J020052.512+112227.150,41.12865668,228.4925371,1,18.105913,"inconclusive (weird scattered light in images, too close to Moon)",,30.218802,11.3742084,20.476431,0.002871977714,30.2273601,11.3819628,Nanni,FW--i/z detect
J025447.717+060711.702,28.11454428,156.1919127,,17.587445,,,43.6988229,6.1199171,20.34374,0.001195172623,43.7041987,6.1256119,Nanni,
J033056.863-005350.777,51.3267669,285.148705,,18.706507,,,52.7369302,-0.897438,20.034682,0.001052478823,52.7265763,-0.9072409,Nanni,FW--PS1 z-detect
J073327.348+251712.286,16.82897798,93.49432214,,17.340388,,,113.363949,25.286746,21.029259,0.001145775796,113.362964,25.2913337,Nanni,
J073644.718+231123.305,44.0555513,244.7530628,,17.702475,,,114.1863268,23.189807,20.582403,0.01666314815,114.1772723,23.198779,Nanni,
J074458.945+273311.416,55.37494379,307.6385766,,17.579106,,,116.2456036,27.553171,21.04295,0.00102937254,116.2629295,27.5523709,Nanni,
J074632.598+263736.152,10.98692405,61.03846692,,16.758355,,,116.6358262,26.6267088,19.712035,0.012113919,116.6370473,26.6295593,Nanni,FW--Junk?
J074724.784+223126.063,20.82783954,115.7102197,,18.179327,,,116.8532673,22.5239065,21.151129,0.003184945043,116.8475381,22.5215686,Nanni,
J074820.691+241216.493,33.85766088,188.098116,,16.998398,,,117.086213,24.2045814,20.209152,0.002015609496,117.0899457,24.2133469,Nanni,FW--Junk?
J074917.182+233923.694,14.1578141,78.65452276,,16.924673,,,117.3215897,23.6565816,20.723017,0.001314206957,117.3229223,23.6603199,Nanni,
J074926.249+200508.530,17.66998868,98.16660379,,16.857315,,,117.3593729,20.0857029,20.969599,0.001024857926,117.3543642,20.0871093,Nanni,
J075015.474+203649.416,22.65951676,125.8862042,,18.277233,,,117.5644762,20.6137268,19.419262,0.002490131826,117.5607385,20.6189602,Nanni,
J075211.889+230124.568,28.3700282,157.6112678,,16.612314,,,118.0495376,23.0234912,21.126372,0.001393823747,118.054665,23.0171802,Nanni,FW-- PS1 z-detect
J081250.683+270223.886,20.31424377,112.8569098,,17.294949,,,123.2111792,27.0399683,20.868056,0.001588417819,123.2164859,27.0430488,Nanni,
J081934.728+071420.574,15.0626027,83.68112609,,16.370736,,,124.8947001,7.2390482,20.441256,0.006081018279,124.8984578,7.2371476,Nanni,
