| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n |
| 1054 | SPAT0364-SLIT1054-DET01 |       364.1 |        0.170 |      3.00 |    1.131 | 0.43 |
| 1054 | SPAT0453-SLIT1054-DET01 |       453.2 |        0.212 |      3.00 |    3.155 | 0.58 |
| 1054 | SPAT0636-SLIT1054-DET01 |       636.4 |        0.300 |      3.00 |    6.668 | 0.43 |
| 1054 | SPAT1047-SLIT1054-DET01 |      1047.0 |        0.496 |      3.00 |    0.976 | 0.52 |
| 1054 | SPAT1156-SLIT1054-DET01 |      1155.9 |        0.548 |      3.00 |    3.818 | 0.37 |
| 1054 | SPAT1209-SLIT1054-DET01 |      1209.2 |        0.574 |      3.00 |    3.656 | 0.32 |
| 1054 | SPAT1391-SLIT1054-DET01 |      1390.6 |        0.661 |      3.00 |    4.467 | 0.42 |
| 1054 | SPAT1405-SLIT1054-DET01 |      1405.1 |        0.667 |      3.00 |    4.360 | 0.43 |
| 1054 | SPAT1661-SLIT1054-DET01 |      1661.0 |        0.790 |      3.00 |    4.298 | 0.48 |
| 1054 | SPAT1978-SLIT1054-DET01 |      1978.5 |        0.942 |      3.00 |    3.981 | 0.42 |
