| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n |
| 1032 | SPAT0384-SLIT1032-DET01 |       383.9 |        0.183 |      3.00 |    3.788 |  0.31 |
| 1032 | SPAT0578-SLIT1032-DET01 |       577.9 |        0.278 |      3.00 |    3.898 |  1.19 |
| 1032 | SPAT0777-SLIT1032-DET01 |       777.4 |        0.376 |      3.00 |    0.731 | 22.04 |
| 1032 | SPAT1032-SLIT1032-DET01 |      1032.5 |        0.500 |      3.00 |    4.060 |  1.13 |
| 1032 | SPAT1151-SLIT1032-DET01 |      1151.3 |        0.558 |      3.00 |    4.096 |  0.63 |
| 1032 | SPAT1161-SLIT1032-DET01 |      1161.2 |        0.563 |      3.00 |    4.059 |  0.65 |
| 1032 | SPAT1346-SLIT1032-DET01 |      1346.4 |        0.654 |      3.00 |    3.680 |  0.74 |
| 1032 | SPAT1605-SLIT1032-DET01 |      1604.8 |        0.780 |      3.00 |    3.598 |  0.67 |
| 1032 | SPAT1611-SLIT1032-DET01 |      1610.6 |        0.783 |      3.00 |    4.067 |  0.70 |
| 1032 | SPAT1876-SLIT1032-DET01 |      1876.3 |        0.913 |      3.00 |    1.909 |  0.92 |
