name,ra,dec,JAB,label,source,note
J084138.080+381408.030,130.4086516,38.2355629,-1,FeLoBAL,EB,in J2
J115048.444-014307.954,177.7018503,-1.7188762,21.18474,unknown,RN,
J115354.740-003011.270,178.4780832,-0.5031305,19.16238,,RN,
J120240.211+012904.894,180.667546,1.4846928,21.541536,unknown,RN,
J131548.761+153356.003,198.9531704,15.5655563,19.918371,unknown,RN,
J131842.031+293258.815,199.6751289,29.5496708,20.100214,unknown,RN,
J133256.552+015031.363,203.2356354,1.8420453,21.416456,unknown,RN,
J133337.321+091938.862,203.4055027,9.3274616,20.990639,unknown,RN,
J142448.753+252750.312,216.2031382,25.4639756,20.69041,problematic,FW,trace very faint; unlikely to be quasar
J151146.328+034405.960,227.9430315,3.7349889,20.372408,unknown,RN,
