| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n |
| 1063 | SPAT0041-SLIT1063-DET01 |        41.3 |        0.015 |      3.00 |    1.012 | 0.76 |
| 1063 | SPAT0177-SLIT1063-DET01 |       176.8 |        0.079 |      3.00 |    0.768 | 6.67 |
| 1063 | SPAT0228-SLIT1063-DET01 |       227.6 |        0.103 |      3.00 |    2.337 | 0.17 |
| 1063 | SPAT0294-SLIT1063-DET01 |       294.2 |        0.135 |      3.00 |    2.979 | 0.39 |
| 1063 | SPAT0341-SLIT1063-DET01 |       340.8 |        0.157 |      3.00 |    4.650 | 0.55 |
| 1063 | SPAT0826-SLIT1063-DET01 |       825.6 |        0.387 |      3.00 |    1.256 | 0.61 |
| 1063 | SPAT0926-SLIT1063-DET01 |       926.3 |        0.435 |      3.00 |    0.890 | 3.66 |
| 1063 | SPAT1077-SLIT1063-DET01 |      1077.5 |        0.507 |      3.00 |    0.935 | 0.48 |
| 1063 | SPAT1964-SLIT1063-DET01 |      1964.0 |        0.928 |      3.00 |    4.170 | 0.87 |
| 1063 | SPAT2017-SLIT1063-DET01 |      2016.8 |        0.952 |      3.00 |    7.397 | 1.11 |
