| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n |
| 1032 | SPAT0201-SLIT1032-DET01 |       200.5 |        0.093 |      3.00 |    3.770 |  0.79 |
| 1032 | SPAT0383-SLIT1032-DET01 |       383.3 |        0.183 |      3.00 |    1.192 |  3.38 |
| 1032 | SPAT0865-SLIT1032-DET01 |       865.2 |        0.418 |      3.00 |    1.193 | 24.06 |
| 1032 | SPAT1046-SLIT1032-DET01 |      1046.1 |        0.507 |      3.00 |    1.485 |  0.65 |
| 1032 | SPAT1202-SLIT1032-DET01 |      1202.2 |        0.583 |      3.00 |    1.255 |  5.81 |
| 1032 | SPAT1292-SLIT1032-DET01 |      1292.1 |        0.627 |      3.00 |    3.550 |  0.20 |
| 1032 | SPAT1372-SLIT1032-DET01 |      1371.9 |        0.666 |      3.00 |    2.464 |  0.33 |
| 1032 | SPAT1645-SLIT1032-DET01 |      1645.1 |        0.800 |      3.00 |    1.717 |  0.64 |
| 1032 | SPAT1663-SLIT1032-DET01 |      1663.2 |        0.809 |      3.00 |    4.433 |  0.83 |
| 1032 | SPAT1677-SLIT1032-DET01 |      1677.0 |        0.816 |      3.00 |    4.126 |  0.80 |
