name,ra,dec,JAB,label,source,note
J073950.503+484314.798,114.9604297,48.7207773,19.880945,problematic,,multiple traces
J074429.004+153606.911,116.1208497,15.6019197,20.382374,problematic,,very faint
J075629.142+574428.032,119.1214235,57.74112,20.047634,unknown,,
J080029.392+512848.131,120.1224672,51.4800364,19.923103,problematic,,multiple traces
J080035.977+303418.710,120.1499027,30.5718639,20.188292,unknown,,red end saturated
J080342.520+003034.971,120.9271674,0.5097143,19.325771,L,,
J081608.811+162249.882,124.0367131,16.3805228,19.55013,T,,
J095320.482-085335.758,148.335288,-8.893316657,19.34930038,T,,
J121737.156+313619.770,184.4048148,31.6054916,19.208643,T,,
J131229.070+570742.013,198.1211254,57.128337,19.24202,T,,
J142308.678+290136.510,215.7861568,29.0268083,19.766756,L,,
J154615.637+294513.468,236.5651553,29.7537411,19.02721,L,,
J155058.000+255841.103,237.7416665,25.9780842,19.56982,L,,
J163508.585+594043.647,248.7857721,59.6787909,19.400898,L,,
J163845.311+541255.620,249.6887968,54.21545009,19.588364,L,,
