| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n | wv_rms |
|     7 | OBJ0489-DET01 |       232.2 |        0.489 |      1.50 |    0.812 | 0.00 |  0.061 |
|     6 | OBJ0489-DET01 |       415.2 |        0.489 |      1.50 |    0.821 | 4.27 |  0.067 |
|     5 | OBJ0489-DET01 |       573.2 |        0.489 |      1.50 |    0.730 | 3.98 |  0.144 |
|     4 | OBJ0489-DET01 |       719.4 |        0.489 |      1.50 |    0.647 | 2.68 |  0.089 |
|     3 | OBJ0489-DET01 |       885.1 |        0.489 |      1.50 |    0.771 | 0.55 |  0.199 |
|     7 | OBJ0207-DET01 |       196.4 |        0.207 |      1.50 |    1.065 | 0.00 |  0.061 |
|     6 | OBJ0207-DET01 |       379.4 |        0.207 |      1.50 |    1.012 | 2.00 |  0.067 |
|     5 | OBJ0207-DET01 |       538.2 |        0.207 |      1.50 |    1.035 | 2.42 |  0.144 |
|     4 | OBJ0207-DET01 |       684.9 |        0.207 |      1.50 |    0.912 | 2.63 |  0.089 |
|     3 | OBJ0207-DET01 |       850.6 |        0.207 |      1.50 |    0.830 | 2.40 |  0.199 |
|     7 | OBJ0778-DET01 |       269.5 |        0.778 |      1.50 |    0.968 | 0.00 |  0.061 |
|     6 | OBJ0778-DET01 |       450.9 |        0.778 |      1.50 |    1.013 | 1.66 |  0.067 |
|     5 | OBJ0778-DET01 |       608.2 |        0.778 |      1.50 |    1.187 | 2.11 |  0.144 |
|     4 | OBJ0778-DET01 |       753.8 |        0.778 |      1.50 |    0.875 | 1.75 |  0.089 |
|     3 | OBJ0778-DET01 |       925.3 |        0.778 |      1.50 |    0.820 | 4.01 |  0.199 |
