| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
|     7 | OBJ0629-DET01 |       250.8 |        0.629 |      1.50 |    1.214 |  0.00 |  0.065 |
|     6 | OBJ0629-DET01 |       432.5 |        0.629 |      1.50 |    1.214 |  0.38 |  0.065 |
|     5 | OBJ0629-DET01 |       590.6 |        0.629 |      1.50 |    0.759 |  0.84 |  0.130 |
|     4 | OBJ0629-DET01 |       736.4 |        0.629 |      1.50 |    0.763 |  1.39 |  0.107 |
|     3 | OBJ0629-DET01 |       900.2 |        0.629 |      1.50 |    0.446 |  1.36 |  0.197 |
|     7 | OBJ0842-DET01 |       278.7 |        0.842 |      1.50 |    1.214 |  0.00 |  0.065 |
|     6 | OBJ0842-DET01 |       460.3 |        0.842 |      1.50 |    1.214 |  0.31 |  0.065 |
|     5 | OBJ0842-DET01 |       616.1 |        0.842 |      1.50 |    2.471 |  0.76 |  0.130 |
|     4 | OBJ0842-DET01 |       761.6 |        0.842 |      1.50 |    1.214 |  0.84 |  0.107 |
|     3 | OBJ0842-DET01 |       925.6 |        0.842 |      1.50 |    0.850 |  3.30 |  0.197 |
|     7 | OBJ0193-DET01 |       194.8 |        0.193 |      1.50 |    1.214 |  0.00 |  0.065 |
|     6 | OBJ0193-DET01 |       377.6 |        0.193 |      1.50 |    1.214 |  0.17 |  0.065 |
|     5 | OBJ0193-DET01 |       535.9 |        0.193 |      1.50 |    0.759 |  0.20 |  0.130 |
|     4 | OBJ0193-DET01 |       682.5 |        0.193 |      1.50 |    0.452 |  0.11 |  0.107 |
|     3 | OBJ0193-DET01 |       849.2 |        0.193 |      1.50 |    2.346 |  1.03 |  0.197 |
|     7 | OBJ0075-DET01 |       179.6 |        0.075 |      1.50 |    1.214 |  0.00 |  0.065 |
|     6 | OBJ0075-DET01 |       362.8 |        0.075 |      1.50 |    1.214 | -0.01 |  0.065 |
|     5 | OBJ0075-DET01 |       521.5 |        0.075 |      1.50 |    0.452 |  0.20 |  0.130 |
|     4 | OBJ0075-DET01 |       668.5 |        0.075 |      1.50 |    0.879 |  0.22 |  0.107 |
|     3 | OBJ0075-DET01 |       836.5 |        0.075 |      1.50 |    0.375 |  0.18 |  0.197 |
|     7 | OBJ0253-DET01 |       202.6 |        0.253 |      1.50 |    1.214 |  0.00 |  0.065 |
|     6 | OBJ0253-DET01 |       385.2 |        0.253 |      1.50 |    1.214 |  0.21 |  0.065 |
|     5 | OBJ0253-DET01 |       543.4 |        0.253 |      1.50 |    0.759 |  0.17 |  0.130 |
|     4 | OBJ0253-DET01 |       689.8 |        0.253 |      1.50 |    0.452 |  0.30 |  0.107 |
|     3 | OBJ0253-DET01 |       855.3 |        0.253 |      1.50 |    1.459 |  1.07 |  0.197 |
