| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n |
|     7 | OBJ0623-DET01 |        90.4 |        0.623 |      1.50 |    1.419 | 0.00 |
|     6 | OBJ0623-DET01 |       229.4 |        0.623 |      1.50 |    1.419 | 0.41 |
|     5 | OBJ0623-DET01 |       367.1 |        0.623 |      1.50 |    0.741 | 0.86 |
|     4 | OBJ0623-DET01 |       501.1 |        0.623 |      1.50 |    0.747 | 1.39 |
|     3 | OBJ0623-DET01 |       633.1 |        0.623 |      1.50 |    0.543 | 1.41 |
|     7 | OBJ0824-DET01 |       116.3 |        0.824 |      1.50 |    1.419 | 0.00 |
|     6 | OBJ0824-DET01 |       255.3 |        0.824 |      1.50 |    1.419 | 0.31 |
|     5 | OBJ0824-DET01 |       392.5 |        0.824 |      1.50 |    2.967 | 1.09 |
|     4 | OBJ0824-DET01 |       526.8 |        0.824 |      1.50 |    1.419 | 1.05 |
|     3 | OBJ0824-DET01 |       658.0 |        0.824 |      1.50 |    0.776 | 3.14 |
