| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |    s2n | wv_rms |
|     7 | OBJ0193-DET01 |       194.1 |        0.193 |      1.50 |    0.607 |   0.00 |  0.057 |
|     7 | OBJ0549-DET01 |       240.5 |        0.549 |      1.50 |    0.714 |   0.00 |  0.057 |
|     7 | OBJ0556-DET01 |       241.5 |        0.556 |      1.50 |    0.714 |   0.00 |  0.057 |
|     7 | OBJ0513-DET01 |       243.0 |        0.513 |      1.50 |    0.714 |   0.00 |  0.057 |
|     7 | OBJ0938-DET01 |       294.7 |        0.938 |      1.50 |    2.486 |   0.00 |  0.057 |
|     6 | OBJ0193-DET01 |       378.0 |        0.193 |      1.50 |    0.561 | 129.51 |  0.066 |
|     6 | OBJ0513-DET01 |       417.2 |        0.513 |      1.50 |    2.333 |  -4.71 |  0.066 |
|     6 | OBJ0549-DET01 |       419.7 |        0.549 |      1.50 |    2.575 |  -2.89 |  0.066 |
|     6 | OBJ0556-DET01 |       420.1 |        0.556 |      1.50 |    0.714 |  -1.44 |  0.066 |
|     6 | OBJ0938-DET01 |       473.2 |        0.938 |      1.50 |    3.629 |  87.46 |  0.066 |
|     5 | OBJ0193-DET01 |       536.6 |        0.193 |      1.50 |    0.517 | 118.19 |  0.147 |
|     5 | OBJ0513-DET01 |       574.9 |        0.513 |      1.50 |    1.948 |  -0.88 |  0.147 |
|     5 | OBJ0549-DET01 |       579.1 |        0.549 |      1.50 |    1.177 |   0.57 |  0.147 |
|     5 | OBJ0556-DET01 |       580.7 |        0.556 |      1.50 |    1.371 |   0.62 |  0.147 |
|     5 | OBJ0938-DET01 |       628.1 |        0.938 |      1.50 |    2.595 |  49.36 |  0.147 |
|     4 | OBJ0193-DET01 |       683.4 |        0.193 |      1.50 |    0.482 | 124.41 |  0.126 |
|     4 | OBJ0513-DET01 |       720.5 |        0.513 |      1.50 |    2.618 | -26.60 |  0.126 |
|     4 | OBJ0549-DET01 |       725.5 |        0.549 |      1.50 |    2.521 | -13.48 |  0.126 |
|     4 | OBJ0556-DET01 |       725.7 |        0.556 |      1.50 |    0.271 |  -7.46 |  0.126 |
|     4 | OBJ0938-DET01 |       771.6 |        0.938 |      1.50 |    2.907 |  68.55 |  0.126 |
|     3 | OBJ0193-DET01 |       848.8 |        0.193 |      1.50 |    0.417 | 118.67 |  0.174 |
|     3 | OBJ0513-DET01 |       888.9 |        0.513 |      1.50 |   10.841 |  41.61 |  0.174 |
|     3 | OBJ0549-DET01 |       889.8 |        0.549 |      1.50 |    4.685 |  41.32 |  0.174 |
|     3 | OBJ0556-DET01 |       890.7 |        0.556 |      1.50 |    3.254 | 303.99 |  0.174 |
|     3 | OBJ0938-DET01 |       935.9 |        0.938 |      1.50 |    1.659 |  -6.87 |  0.174 |
