| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
|     7 | OBJ0355-DET01 |       215.0 |        0.355 |      1.50 |    0.939 |  0.00 |  0.075 |
|     7 | OBJ0884-DET01 |       285.7 |        0.884 |      1.50 |    4.467 |  0.00 |  0.075 |
|     7 | OBJ0943-DET01 |       290.9 |        0.943 |      1.50 |    1.013 |  0.00 |  0.075 |
|     6 | OBJ0355-DET01 |       398.2 |        0.355 |      1.50 |    0.880 | 63.38 |  0.064 |
|     6 | OBJ0884-DET01 |       464.4 |        0.884 |      1.50 |    0.905 |  0.68 |  0.064 |
|     6 | OBJ0943-DET01 |       471.8 |        0.943 |      1.50 |    0.970 |  1.03 |  0.064 |
|     5 | OBJ0355-DET01 |       556.4 |        0.355 |      1.50 |    0.858 | 53.09 |  0.166 |
|     5 | OBJ0884-DET01 |       620.9 |        0.884 |      1.50 |    3.669 |  9.79 |  0.166 |
|     5 | OBJ0943-DET01 |       628.1 |        0.943 |      1.50 |    4.157 | 10.50 |  0.166 |
|     4 | OBJ0355-DET01 |       702.7 |        0.355 |      1.50 |    0.885 | 56.04 |  0.101 |
|     4 | OBJ0884-DET01 |       762.9 |        0.884 |      1.50 |    5.306 | 21.95 |  0.101 |
|     4 | OBJ0943-DET01 |       772.6 |        0.943 |      1.50 |    8.049 |  4.74 |  0.101 |
|     3 | OBJ0355-DET01 |       867.7 |        0.355 |      1.50 |    0.751 | 31.70 |  0.165 |
|     3 | OBJ0884-DET01 |       929.2 |        0.884 |      1.50 |    0.735 |  0.16 |  0.165 |
|     3 | OBJ0943-DET01 |       936.1 |        0.943 |      1.50 |    1.033 |  0.21 |  0.165 |
