| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
|     7 | OBJ0342-DET01 |       213.2 |        0.342 |      1.50 |    1.125 |  0.00 |  0.076 |
|     7 | OBJ0872-DET01 |       285.5 |        0.872 |      1.50 |    1.615 |  0.00 |  0.076 |
|     7 | OBJ0911-DET01 |       290.5 |        0.911 |      1.50 |    2.738 |  0.00 |  0.076 |
|     6 | OBJ0342-DET01 |       396.6 |        0.342 |      1.50 |    1.073 | 91.95 |  0.076 |
|     6 | OBJ0872-DET01 |       464.1 |        0.872 |      1.50 |    4.155 | 40.15 |  0.076 |
|     6 | OBJ0911-DET01 |       468.2 |        0.911 |      1.50 |    4.578 | 37.14 |  0.076 |
|     5 | OBJ0342-DET01 |       554.9 |        0.342 |      1.50 |    1.000 | 83.19 |  0.132 |
|     5 | OBJ0872-DET01 |       620.1 |        0.872 |      1.50 |    2.515 |  0.00 |  0.132 |
|     5 | OBJ0911-DET01 |       625.4 |        0.911 |      1.50 |    3.198 |  4.14 |  0.132 |
|     4 | OBJ0342-DET01 |       701.4 |        0.342 |      1.50 |    0.958 | 84.42 |  0.091 |
|     4 | OBJ0872-DET01 |       768.3 |        0.872 |      1.50 |    1.287 |  3.35 |  0.091 |
|     4 | OBJ0911-DET01 |       770.3 |        0.911 |      1.50 |    1.826 |  3.62 |  0.091 |
|     3 | OBJ0342-DET01 |       866.4 |        0.342 |      1.50 |    0.876 | 56.27 |  0.156 |
|     3 | OBJ0872-DET01 |       929.8 |        0.872 |      1.50 |    3.017 |  1.91 |  0.156 |
|     3 | OBJ0911-DET01 |       934.0 |        0.911 |      1.50 |    3.391 |  2.03 |  0.156 |
