| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |    s2n | wv_rms |
|     7 | OBJ0346-DET01 |       214.7 |        0.346 |      1.50 |    0.594 |   0.00 |  0.057 |
|     7 | OBJ0746-DET01 |       265.4 |        0.746 |      1.50 |    0.502 |   0.00 |  0.057 |
|     6 | OBJ0346-DET01 |       395.9 |        0.346 |      1.50 |    4.128 |  10.63 |  0.066 |
|     6 | OBJ0746-DET01 |       447.4 |        0.746 |      1.50 |    0.436 | 131.76 |  0.066 |
|     5 | OBJ0346-DET01 |       553.6 |        0.346 |      1.50 |    5.222 |  -1.27 |  0.147 |
|     5 | OBJ0746-DET01 |       604.5 |        0.746 |      1.50 |    0.400 | 122.47 |  0.147 |
|     4 | OBJ0346-DET01 |       700.1 |        0.346 |      1.50 |    4.169 |   1.68 |  0.126 |
|     4 | OBJ0746-DET01 |       749.9 |        0.746 |      1.50 |    0.404 | 134.65 |  0.126 |
|     3 | OBJ0346-DET01 |       866.6 |        0.346 |      1.50 |    0.452 |   1.45 |  0.174 |
|     3 | OBJ0746-DET01 |       913.9 |        0.746 |      1.50 |    0.345 | 119.45 |  0.174 |
