| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |    s2n | wv_rms |
|     7 | OBJ0355-DET01 |       215.0 |        0.355 |      1.50 |    0.949 |   0.00 |  0.075 |
|     7 | OBJ0884-DET01 |       285.7 |        0.884 |      1.50 |    3.004 |   0.00 |  0.075 |
|     7 | OBJ0943-DET01 |       291.0 |        0.943 |      1.50 |    1.575 |   0.00 |  0.075 |
|     6 | OBJ0355-DET01 |       398.2 |        0.355 |      1.50 |    0.883 |  58.39 |  0.064 |
|     6 | OBJ0884-DET01 |       464.4 |        0.884 |      1.50 |    1.681 | -25.93 |  0.064 |
|     6 | OBJ0943-DET01 |       471.8 |        0.943 |      1.50 |    8.108 | -23.13 |  0.064 |
|     5 | OBJ0355-DET01 |       556.4 |        0.355 |      1.50 |    0.857 |  52.76 |  0.166 |
|     5 | OBJ0884-DET01 |       620.9 |        0.884 |      1.50 |    2.464 |   6.85 |  0.166 |
|     5 | OBJ0943-DET01 |       628.1 |        0.943 |      1.50 |    4.315 |   7.38 |  0.166 |
|     4 | OBJ0355-DET01 |       702.7 |        0.355 |      1.50 |    0.862 |  52.76 |  0.101 |
|     4 | OBJ0884-DET01 |       762.9 |        0.884 |      1.50 |    3.085 |   1.89 |  0.101 |
|     4 | OBJ0943-DET01 |       772.7 |        0.943 |      1.50 |    4.638 |   1.25 |  0.101 |
|     3 | OBJ0355-DET01 |       867.7 |        0.355 |      1.50 |    0.754 |  31.75 |  0.165 |
|     3 | OBJ0884-DET01 |       929.3 |        0.884 |      1.50 |    0.718 |  -1.14 |  0.165 |
|     3 | OBJ0943-DET01 |       936.2 |        0.943 |      1.50 |    1.701 |  -1.60 |  0.165 |
