| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
|     7 | OBJ0342-DET01 |       213.2 |        0.342 |      1.50 |    1.119 |  0.00 |  0.076 |
|     7 | OBJ0872-DET01 |       285.5 |        0.872 |      1.50 |    2.009 |  0.00 |  0.076 |
|     7 | OBJ0911-DET01 |       290.6 |        0.911 |      1.50 |    2.769 |  0.00 |  0.076 |
|     6 | OBJ0342-DET01 |       396.6 |        0.342 |      1.50 |    1.070 | 91.81 |  0.076 |
|     6 | OBJ0872-DET01 |       464.1 |        0.872 |      1.50 |    3.955 | 11.51 |  0.076 |
|     6 | OBJ0911-DET01 |       468.2 |        0.911 |      1.50 |    4.518 | 12.35 |  0.076 |
|     5 | OBJ0342-DET01 |       554.9 |        0.342 |      1.50 |    1.000 | 83.20 |  0.132 |
|     5 | OBJ0872-DET01 |       620.1 |        0.872 |      1.50 |    2.661 | 16.94 |  0.132 |
|     5 | OBJ0911-DET01 |       625.4 |        0.911 |      1.50 |    3.860 | 14.70 |  0.132 |
|     4 | OBJ0342-DET01 |       701.4 |        0.342 |      1.50 |    0.957 | 84.36 |  0.091 |
|     4 | OBJ0872-DET01 |       768.3 |        0.872 |      1.50 |    1.312 |  3.41 |  0.091 |
|     4 | OBJ0911-DET01 |       770.3 |        0.911 |      1.50 |    1.829 |  3.70 |  0.091 |
|     3 | OBJ0342-DET01 |       866.4 |        0.342 |      1.50 |    0.874 | 56.04 |  0.156 |
|     3 | OBJ0872-DET01 |       929.8 |        0.872 |      1.50 |    2.044 |  2.99 |  0.156 |
|     3 | OBJ0911-DET01 |       934.0 |        0.911 |      1.50 |    4.242 |  3.85 |  0.156 |
