| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
|     7 | OBJ0363-DET01 |       214.7 |        0.363 |      1.50 |    0.569 |  0.00 |  0.095 |
|     7 | OBJ0432-DET01 |       225.5 |        0.432 |      1.50 |    0.569 |  0.00 |  0.095 |
|     6 | OBJ0363-DET01 |       399.3 |        0.363 |      1.50 |    0.569 |  1.28 |  0.067 |
|     6 | OBJ0432-DET01 |       407.6 |        0.432 |      1.50 |    0.569 | -0.02 |  0.067 |
|     5 | OBJ0363-DET01 |       557.4 |        0.363 |      1.50 |    0.569 |  1.56 |  0.146 |
|     5 | OBJ0432-DET01 |       565.3 |        0.432 |      1.50 |    0.375 | -0.02 |  0.146 |
|     4 | OBJ0432-DET01 |       703.3 |        0.432 |      1.50 |    3.665 |  1.86 |  0.123 |
|     4 | OBJ0363-DET01 |       703.8 |        0.363 |      1.50 |    0.595 |  2.49 |  0.123 |
|     3 | OBJ0363-DET01 |       868.8 |        0.363 |      1.50 |    0.502 |  2.45 |  0.162 |
|     3 | OBJ0432-DET01 |       876.1 |        0.432 |      1.50 |    0.375 |  0.03 |  0.162 |
