| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n | wv_rms |
|     7 | OBJ0335-DET01 |       210.5 |        0.335 |      1.50 |    0.818 | 0.00 |  0.094 |
|     7 | OBJ0415-DET01 |       223.3 |        0.415 |      1.50 |    0.818 | 0.00 |  0.094 |
|     7 | OBJ0442-DET01 |       226.8 |        0.442 |      1.50 |    0.818 | 0.00 |  0.094 |
|     7 | OBJ0442-DET01 |       226.8 |        0.442 |      1.50 |    0.818 | 0.00 |  0.094 |
|     6 | OBJ0335-DET01 |       395.0 |        0.335 |      1.50 |    0.818 | 0.55 |  0.079 |
|     6 | OBJ0415-DET01 |       406.2 |        0.415 |      1.50 |    3.558 | 0.21 |  0.079 |
|     6 | OBJ0442-DET01 |       408.8 |        0.442 |      1.50 |    0.758 | 0.07 |  0.079 |
|     6 | OBJ0442-DET01 |       408.9 |        0.442 |      1.50 |    1.081 | 0.07 |  0.079 |
|     5 | OBJ0335-DET01 |       554.0 |        0.335 |      1.50 |    1.071 | 0.93 |  0.133 |
|     5 | OBJ0415-DET01 |       563.2 |        0.415 |      1.50 |    0.758 | 0.32 |  0.133 |
|     5 | OBJ0442-DET01 |       566.5 |        0.442 |      1.50 |    0.758 | 0.27 |  0.133 |
|     5 | OBJ0442-DET01 |       566.6 |        0.442 |      1.50 |    4.082 | 0.61 |  0.133 |
|     4 | OBJ0335-DET01 |       700.1 |        0.335 |      1.50 |    0.700 | 0.71 |  0.124 |
|     4 | OBJ0415-DET01 |       709.1 |        0.415 |      1.50 |    0.818 | 0.13 |  0.124 |
|     4 | OBJ0442-DET01 |       712.4 |        0.442 |      1.50 |    0.758 | 0.17 |  0.124 |
|     4 | OBJ0442-DET01 |       712.5 |        0.442 |      1.50 |    3.729 | 0.25 |  0.124 |
|     3 | OBJ0335-DET01 |       865.7 |        0.335 |      1.50 |    0.818 | 0.60 |  0.166 |
|     3 | OBJ0415-DET01 |       874.0 |        0.415 |      1.50 |    0.818 | 0.05 |  0.166 |
|     3 | OBJ0442-DET01 |       877.2 |        0.442 |      1.50 |    0.818 | 0.05 |  0.166 |
|     3 | OBJ0442-DET01 |       877.2 |        0.442 |      1.50 |    0.818 | 0.05 |  0.166 |
