| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |    s2n | wv_rms |
|     7 | OBJ0193-DET01 |       194.1 |        0.193 |      1.50 |    0.668 |   0.00 |  0.074 |
|     7 | OBJ0448-DET01 |       228.6 |        0.448 |      1.50 |    0.815 |   0.00 |  0.074 |
|     6 | OBJ0193-DET01 |       378.0 |        0.193 |      1.50 |    0.626 | 124.65 |  0.058 |
|     6 | OBJ0448-DET01 |       403.5 |        0.448 |      1.50 |    0.623 |   1.15 |  0.058 |
|     5 | OBJ0193-DET01 |       536.6 |        0.193 |      1.50 |    0.577 | 112.12 |  0.142 |
|     5 | OBJ0448-DET01 |       568.8 |        0.448 |      1.50 |    0.732 |   1.55 |  0.142 |
|     4 | OBJ0193-DET01 |       683.4 |        0.193 |      1.50 |    0.566 | 125.71 |  0.106 |
|     4 | OBJ0448-DET01 |       713.2 |        0.448 |      1.50 |    0.776 |   1.20 |  0.106 |
|     3 | OBJ0193-DET01 |       848.9 |        0.193 |      1.50 |    0.485 | 112.82 |  0.155 |
|     3 | OBJ0448-DET01 |       877.9 |        0.448 |      1.50 |    0.732 |   0.48 |  0.155 |
