name,ra,dec,JAB,label,source,note
LRIS-2201,,,,,,
J073949.57+232825.25,114.9565387,23.4736803,20.487028,M9.5,RN,
J075903.44+281131.90,119.7643514,28.1921937,19.975506,M6,RN,
J082007.63+241228.30,125.0317897,24.2078619,20.262846,problematic,RN,"wrong target, candidate unobserved"
J083100.14+255856.61,127.7505831,25.9823921,20.026593,M6,RN,
J084950.53+260130.57,132.4605347,26.02515937,20.489023,M8,EB,PSO132.46053+26.02515
J093614.91+324412.76,144.0621343,32.7368782,20.109776,M8,RN,
J093646.03+334601.91,144.1917789,33.767196,20.14139,M7,RN,
J093855.31+333259.98,144.7304549,33.5499948,20.248297,M6,RN,
J100339.40-261016.44,150.9141486,-26.17123304,-1,M6,EB,PSO150.91414-26.17123
J103038.42-003117.94,157.6600936,-0.5216491,19.94969,M9.5,RN,
J114519.83+093346.33,176.3326434,9.5628692,-1,unknown,RN,coadd2d; low S/N but unlikely to be qso
J114601.44+003939.31,176.5059903,0.6609202,20.329947,unknown,RN,
J120607.80-005105.57,181.5324868,-0.851546,20.993145,unknown,RN,coadd2d; low S/N but unlikely to be qso
J120913.88+013514.25,182.3078526,1.5872904,20.20401,L0.5,RN,
J124151.07-013408.86,190.4628004,-1.5691277,20.264218,M4.5,RN,
J124607.63-304544.78,191.5317764,-30.76243817,-1,M6,EB,PSO191.53177-30.76243
J125633.96-030659.67,194.1414968,-3.1165745,21.280537,unknown,RN,
J130543.63-154943.75,196.4317718,-15.82881823,-1,M8,EB,PSO196.43177-15.82881
J132636.65+092719.33,201.6527212,9.4553692,20.120821,M9,RN,
LRIS-2203,,,,,,
J081040.29+235235.09,122.6678542,23.87641444,20.196774,M9,RN,
J085008.46+014643.00,132.5352292,1.77861,20.949196,L2,RN,
J090138.13+290655.54,135.4088917,29.11542889,20.58587,qso,RN,z~6.1
J091140.29+002242.49,137.9178875,0.3784705556,21.290488,M9,RN,
J094755.49+011127.00,146.9812042,1.190834167,20.56739,M8,RN,
J110002.90+020300.38,165.012075,2.050105,21.519932,unknown,RN,coadd2d; low S/N but unlikely to be qso
J114356.11-024829.42,175.9837875,-2.808171389,21.759002,unknown,RN,
J115321.54-223901.20,178.3397708,-22.65033361,-1,M9,EB,
J120003.18+011214.39,180.0132417,1.203996667,21.674621,unknown,RN,coadd2d; low S/N but unlikely to be qso
J122311.39+011405.30,185.79745,1.234805833,20.821467,M8,RN,
J123351.24-280750.41,188.4634833,-28.13066972,-1,M9,EB,
J125028.62+034703.27,192.6192292,3.784240556,21.512926,unknown,RN,
J131927.52+010156.30,199.86465,1.032304722,21.43092,qso,RN,z~5.7
J132719.53-020714.60,201.8313583,-2.120721111,21.429432,unknown,RN,
J133504.33+010355.78,203.7680417,1.065495833,21.21678,M4.5,RN,
J135504.67-004420.54,208.7694417,-0.7390397222,21.193598,unknown,RN,
J135539.63-011129.48,208.9151167,-1.191522778,21.547177,unknown,RN,
J135636.65+005039.70,209.1527,0.8443605556,21.549115,unknown,RN,
J135843.80-011821.13,209.6824917,-1.305868611,20.537516,M9,RN,
J141210.97-275730.31,213.0457042,-27.95841806,-1,M6,EB,
J142226.65+030754.18,215.6110542,3.131717778,21.21256,M9,RN,
J142524.12+000417.41,216.3505,0.07150166667,20.977177,M8,RN,
J142748.54+020227.23,216.9522583,2.040896389,21.743242,unknown,RN,coadd2d; low S/N but unlikely to be qso
J144337.30+021004.02,220.9054208,2.167783333,21.413782,problematic,RN,reduction fail
J145836.16+101249.65,224.6506792,10.21379167,-1,qso,EB,z~5.6
J151032.45-014425.77,227.6352,-1.740491111,21.657782,unknown,RN,
J151418.78-012144.14,228.5782583,-1.362261389,21.550278,M9.5,RN,
J152234.29+005152.80,230.6428958,0.8646655556,21.482891,unknown,RN,
J153452.89+004645.53,233.7203625,0.7793127778,20.901667,M9,RN,
J165508.76-005121.63,253.7865042,-0.8560072222,-1,M4.5,EB,
J172429.93+371821.79,261.1247042,37.30605139,-1,qso,EB,z~5.74
LRIS-2204,,,,,,
J073950.838+264530.179,114.961825,26.7583831,21.491886,problematic,RN,observed but close to moon?
J074444.791+235251.153,116.186631,23.8808758,20.732376,problematic,RN,observed but close to moon?
J085428.106+290833.104,133.6171092,29.1425288,20.71449,unknown,RN,coadd2d
J095415.180-011754.786,148.5632501,-1.2985516,20.288416,L5,RN,
J110039.295+023721.243,165.1637309,2.6225675,20.538475,L2,RN,science as tilt; coadd2d
J111125.153+064053.984,167.854804,6.6816622,20.75224,qso,RN,z~6
J115218.583+005934.029,178.0774277,0.9927859,20.296341,problematic,RN,reduction fail due to bright nearby source
J123824.230+023459.841,189.6009592,2.5832891,20.691695,unknown,RN,
J125312.362-020041.081,193.3015099,-2.0114115,20.877014,unknown,RN,
J131729.651-030247.665,199.3735463,-3.0465736,21.004038,M4.5,RN,
J134028.617+142244.748,205.119237,14.3790966,21.077648,unknown,RN,
J134922.649+080505.212,207.3443697,8.0847812,20.871397,unknown,RN,
J135132.346+012809.719,207.8847743,1.4693663,20.876961,M8,RN,
J135201.743+000224.784,208.0072622,0.0402179,20.6999,M9,RN,
J140120.86+454253.46,210.336917,45.71485,21.1,qso,AG,z~5.5
J142308.68+290136.51 ,215.786158,29.026808,20.7,unknown,FW,extended from 2d
J142615.867+014842.065,216.566112,1.8116847,21.363402,M6,RN,
J142933.775+021921.760,217.390728,2.3227112,21.315472,M9.5,RN,
J143213.277+001547.307,218.0553188,0.2631408,21.495863,problematic,RN,reduced 2d looks bad; not qso from raw image
J143440.038+024041.375,218.6668256,2.6781596,21.478136,M8,RN,
J143717.365-015138.421,219.3223548,-1.8606724,21.685091,problematic,RN,bright star; might need to turn off local sky subtraction? not quasar from 2d
J143853.869-010325.407,219.7244524,-1.0570574,20.842762,unknown,RN,71-72 wrong PA (don't use)
J144153.799+014903.267,220.4741627,1.8175742,21.26101,unknown,RN,
J145001.337+022819.884,222.505571,2.4721901,21.626286,unknown,RN,bright star; might need to turn off local sky subtraction? not quasar from 2d
J150838.683-010943.751,227.1611779,-1.162153,21.616322,unknown,RN,
J151304.074-005901.263,228.2669735,-0.9836841,20.833979,M7,RN,
J152330.67+293539.67,230.877792,29.594353,20.2,qso,AG,z~5.7
J153208.884-015507.110,233.0370173,-1.9186418,21.066138,M8,RN,didn't apply offset
J153546.82+614559.40 ,233.945083,61.7665,21.5,unknown,AG,"I wonder what this source could be, spectrum shape looks abnormal"
J162559.817+241418.659,246.4992391,24.2385165,20.993569,unknown,RN,
J163508.59+594043.65,248.785771,59.678791,20.8,unknown,FW,
J221232.81+204009.10 ,333.136692,20.669195,20.3,unknown,FW,"No trace at slit-B position. We checked alignment carefully via both reversing  offsets and capturing the guider image, which is in the data directory at lrisslit_144922_139.fits"
MOSFIRE-1911,,,,,,
J000730.709+251713.234,1.8779542,25.2870094,20.5,problematic,,cannot identify the target
J002234.276-071302.995,5.6428167,-7.2174986,21.57,problematic,,affected by the acq box
J003803.780-065322.870,9.5157583,-6.8896872,-1,qso,known qso,z~7.1; interesting that it's actually hard to tell from the 1d and 2d
J005815.734+171519.008,14.5655583,17.25528,-1,unknown,,
J020857.883+174943.900,32.2411792,17.8288611,-1,unknown,,
