name,ra,dec,JAB,label,spectral type,redshift,source,note,run,flux_z,flux_ivar_z,flux_w1,flux_ivar_w1,flux_w2,flux_ivar_w2,j_err,y_err,h_err,k_err,YAB,HAB,KAB
J0739+2328,114.9565,23.4737,20.49,star,M9.5,,RN,,lris-2201,4.103994,104.84385,10.586656,2.641212,10.35425,0.653168,0.09380045,0.2627106,0.2653501,0.2599081,21.34,20.53,20.54
J0759+2811,119.7644,28.1922,19.98,star,M6,,RN,,lris-2201,4.574131,131.6562,17.087048,2.474816,19.447443,0.60131,0.14145885,0.13644883,0.19563407,0.18332851,20.26,19.95,19.9
J0820+2412,125.0318,24.2079,20.26,failed,,,RN,"wrong target, candidate unobserved",lris-2201,3.673404,78.71606,13.259457,2.483101,12.643189,0.588457,0.07452192,0.17095017,0.14287251,0.1340926,20.87,19.85,19.75
J0831+2558,127.7506,25.9824,19.95,star,M6,,RN,,lris-2201,5.551227,110.57923,11.875537,2.804552,10.136308,0.600285,0.06814985,0.08893127,-1.0,-1.0,20.38,-1.0,-1.0
J0849+2601,132.4605,26.0252,20.49,star,M8,,EB,,lris-2201,2.951967,83.25055,1.702891,3.258015,0.279183,0.657158,0.1003458,0.21647012,-1.0,-1.0,21.02,-1.0,-1.0
J0936+3244,144.0621,32.7369,20.11,star,M8,,RN,,lris-2201,5.005251,186.0036,6.388557,3.20556,8.710896,0.704915,0.07075182,0.13433535,0.17563435,-1.0,20.48,19.93,-1.0
J0936+3346,144.1918,33.7672,20.14,star,M7,,RN,,lris-2201,3.834488,58.672848,13.572598,3.222533,14.423491,0.723409,0.10241486,0.1959663,0.19403806,0.14546622,20.85,20.19,19.65
J0938+3332,144.7305,33.55,20.25,star,M6,,RN,,lris-2201,4.891985,95.78055,5.876368,3.064816,3.462965,0.695395,0.103625745,0.12719788,0.17454316,0.18272373,20.45,20.14,19.95
J1003-2610,150.9141,-26.1712,-1.0,star,M6,,EB,,lris-2201,9.134348,51.084583,51.002254,2.442033,65.03225,0.632012,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J1030-0031,157.6601,-0.5216,19.87,star,M9.5,,RN,,lris-2201,3.9392,112.90931,17.782257,2.736596,18.80562,0.597706,0.08316982,0.1938235,0.10422457,0.118037626,20.93,19.68,19.44
