| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | wv_rms |
|    26 | OBJ0750-DET01 |       103.0 |        0.750 |      3.21 |    0.991 |  1.54 |  0.029 |
|    25 | OBJ0750-DET01 |       174.8 |        0.750 |      3.18 |    0.962 | 38.95 |  0.073 |
|    24 | OBJ0750-DET01 |       244.1 |        0.750 |      3.15 |    0.948 | 67.07 |  0.035 |
|    23 | OBJ0750-DET01 |       310.9 |        0.750 |      3.12 |    0.934 | 68.41 |  0.076 |
|    22 | OBJ0750-DET01 |       375.4 |        0.750 |      3.10 |    0.907 | 72.60 |  0.063 |
|    21 | OBJ0750-DET01 |       437.6 |        0.750 |      3.07 |    0.880 | 44.55 |  0.053 |
|    20 | OBJ0750-DET01 |       497.9 |        0.750 |      3.04 |    0.863 | 63.98 |  0.099 |
|    19 | OBJ0750-DET01 |       556.4 |        0.750 |      3.01 |    0.839 | 48.55 |  0.201 |
|    18 | OBJ0750-DET01 |       613.1 |        0.750 |      2.99 |    0.823 | 56.20 |  0.140 |
|    17 | OBJ0750-DET01 |       669.1 |        0.750 |      2.96 |    0.796 | 57.79 |  0.124 |
|    16 | OBJ0750-DET01 |       724.5 |        0.750 |      2.94 |    0.772 | 61.83 |  0.216 |
|    15 | OBJ0750-DET01 |       780.0 |        0.750 |      2.91 |    0.747 | 65.38 |  0.297 |
|    14 | OBJ0750-DET01 |       836.6 |        0.750 |      2.89 |    0.715 | 33.99 |  0.279 |
|    13 | OBJ0750-DET01 |       895.5 |        0.750 |      2.86 |    0.696 | 33.41 |  0.317 |
|    12 | OBJ0750-DET01 |       958.7 |        0.750 |      2.84 |    0.662 | 21.72 |  0.240 |
|    11 | OBJ0750-DET01 |      1029.0 |        0.750 |      2.81 |    0.622 |  4.48 |  0.164 |
