| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n | wv_rms |
|    26 | OBJ0257-DET01 |        81.9 |        0.257 |      3.18 |    0.392 | 0.00 |  0.029 |
|    25 | OBJ0257-DET01 |       153.0 |        0.257 |      3.18 |    0.392 | 0.00 |  0.073 |
|    24 | OBJ0257-DET01 |       222.4 |        0.257 |      3.15 |    0.392 | 0.63 |  0.035 |
|    23 | OBJ0257-DET01 |       289.3 |        0.257 |      3.12 |    0.392 | 0.63 |  0.076 |
|    22 | OBJ0257-DET01 |       353.8 |        0.257 |      3.10 |    0.392 | 1.25 |  0.063 |
|    21 | OBJ0257-DET01 |       416.1 |        0.257 |      3.07 |    0.392 | 1.34 |  0.053 |
|    20 | OBJ0257-DET01 |       476.5 |        0.257 |      3.04 |    0.392 | 1.63 |  0.099 |
|    19 | OBJ0257-DET01 |       535.1 |        0.257 |      3.01 |    0.392 | 0.87 |  0.201 |
|    18 | OBJ0257-DET01 |       591.9 |        0.257 |      2.99 |    0.392 | 1.95 |  0.140 |
|    17 | OBJ0257-DET01 |       648.0 |        0.257 |      2.96 |    0.392 | 2.76 |  0.124 |
|    16 | OBJ0257-DET01 |       703.5 |        0.257 |      2.94 |    0.390 | 2.89 |  0.216 |
|    15 | OBJ0257-DET01 |       759.1 |        0.257 |      2.91 |    0.580 | 2.80 |  0.297 |
|    14 | OBJ0257-DET01 |       815.9 |        0.257 |      2.89 |    0.392 | 1.15 |  0.279 |
|    13 | OBJ0257-DET01 |       874.9 |        0.257 |      2.86 |    0.392 | 1.13 |  0.317 |
|    12 | OBJ0257-DET01 |       938.1 |        0.257 |      2.86 |    0.392 | 0.73 |  0.240 |
|    11 | OBJ0257-DET01 |      1008.2 |        0.257 |      2.86 |    0.392 | 0.13 |  0.164 |
