| order |          name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n |
|    26 | OBJ0492-DET01 |        42.9 |        0.492 |      3.21 |    0.453 | 0.00 |
|    25 | OBJ0492-DET01 |       119.5 |        0.492 |      3.18 |    0.453 | 0.66 |
|    24 | OBJ0492-DET01 |       196.5 |        0.492 |      3.15 |    0.453 | 1.25 |
|    23 | OBJ0492-DET01 |       273.4 |        0.492 |      3.12 |    0.453 | 1.26 |
|    22 | OBJ0492-DET01 |       350.6 |        0.492 |      3.10 |    0.424 | 1.99 |
|    21 | OBJ0492-DET01 |       427.5 |        0.492 |      3.07 |    0.536 | 1.91 |
|    20 | OBJ0492-DET01 |       504.5 |        0.492 |      3.04 |    0.456 | 2.30 |
|    19 | OBJ0492-DET01 |       581.6 |        0.492 |      3.01 |    0.453 | 1.21 |
|    18 | OBJ0492-DET01 |       657.5 |        0.492 |      2.99 |    0.455 | 2.66 |
|    17 | OBJ0492-DET01 |       733.6 |        0.492 |      2.96 |    0.453 | 3.58 |
|    16 | OBJ0492-DET01 |       809.5 |        0.492 |      2.94 |    0.443 | 3.84 |
|    15 | OBJ0492-DET01 |       885.5 |        0.492 |      2.91 |    0.460 | 3.65 |
|    14 | OBJ0492-DET01 |       959.5 |        0.492 |      2.89 |    0.453 | 1.55 |
|    13 | OBJ0492-DET01 |      1033.5 |        0.492 |      2.86 |    0.453 | 1.56 |
|    12 | OBJ0492-DET01 |      1106.7 |        0.492 |      2.84 |    0.453 | 0.97 |
|    11 | OBJ0492-DET01 |      1178.9 |        0.492 |      2.84 |    0.453 | 0.17 |
