Name,redshift,radeg,decdeg,JAperMag3,JAperMag3Err
SWJ013238.33+292602.57   ,4.45 ,23.1597083,29.4340472,18.53236,0.111551
SWJ012026.86+223058.55   ,4.59 ,20.1119167,22.5162639,18.495203,0.114602
SWJ003941.03+202554.85   ,4.61 ,9.9209583,20.4319028,17.5935,0.034464
SDSSJ030315.05-000347.6  ,4.72 ,45.8127083,-0.0632222,-999999500.0,-999999500.0
SWJ000754.08-031730.82   ,4.76 ,1.9753333,-3.2918944,18.285954,0.049764
SDSSJ000749.16+004119.6  ,4.78 ,1.954875,0.6887806,19.1498,0.097849
SDSSJ001529.86-004904.3  ,4.93 ,3.8744167,-0.8178611,19.620668,0.126302
SDSSJ000239.39+255034.8  ,5.82 ,0.664125,25.8430389,18.457941,0.091032
SDSSJ000552.34-000655.8  ,5.85 ,1.4680833,-0.1155,19.745247,0.192736
SDSSJ030331.40-001912.9  ,6.07 ,45.8808333,-0.32025,20.118309,0.196466
J020625.26+264023.6      ,L    ,31.60525,26.67322222,17.65,0.07
J020823.82+273738.7      ,L    ,32.09925,27.62741667,15.714,0.06
J030136.57+002057.0      ,L    ,45.402375,0.349166667,16.882,0.19
J003519.14+280715.5      ,M    ,8.82975,28.12097222,13.015,0.017
J004324.51+280543.7      ,M    ,10.852125,28.09547222,15.217,0.053
J004446.85+280741.8      ,M    ,11.19520833,28.12827778,13.533,0.018
J004605.87+280841.3      ,M    ,11.52445833,28.14480556,14.544,0.029
J011749.92+280245.3      ,M    ,19.458,28.04591667,14.42,0.026
J011908.43+280910.9      ,M    ,19.785125,28.15302778,14.817,0.036
J012559.40+280640.4      ,M    ,21.4975,28.11122222,14.767,0.035
J012739.04+280552.3      ,M    ,21.91266667,28.09786111,14.044,0.027
J013825.39+280943.7      ,M    ,24.60579167,28.16213889,14.79,0.035
J015158.49+280838.4      ,M    ,27.99370833,28.144,12.745,0.022
J015421.12+280414.9      ,M    ,28.588,28.07080556,15.771,0.057
J015748.95+280854.5      ,M    ,29.45395833,28.14847222,15.077,0.035
J015908.24+280457.8      ,M    ,29.78433333,28.08272222,13.636,0.02
PSO_J004.1834+23.0741    ,T    ,4.1834,23.0741,16.58,0.03
PSO_J031.5651+20.9097    ,T    ,31.5651,20.9097,16.73,0.03
SDSSJ090634.84+023433.8  ,4.501,136.6451667,2.5760667,17.220577,0.009336
SDSSJ094004.80+052630.9  ,4.504,145.02,5.4419417,-999999500.0,-999999500.0
SDSSJ093333.85+051839.9  ,4.506,143.3910833,5.3111028,18.385746,0.075917
SDSSJ083429.44+214024.6  ,4.508,128.6226667,21.6735139,,
BR1033-0327              ,4.509,159.09875,-3.7218639,,
SDSSJ092132.75+185654.9  ,4.519,140.3865,18.9486028,,
SDSSJ074211.16+250730.7  ,4.521,115.5465417,25.1252056,18.626795,0.053855
SDSSJ084045.40+090809.4  ,4.531,130.1891667,9.1359667,18.338783,0.058484
SDSSJ101006.54+073129.7  ,4.531,152.5272917,7.524925,19.339745,0.160332
