t1_name,t1_ra,t1_dec,t1_jab,t1_source,t1_type,t1_obs,flux_g,flux_ivar_g,flux_ivar_r,flux_ivar_w1,flux_ivar_w2,flux_ivar_z,flux_r,flux_w1,flux_w2,flux_z,mag_g,mag_r,mag_w1,mag_w2,mag_z,dist_arcsec
J073949.569+232825.249,114.9565387,23.4736803,20.487028,Nanni,M9.5,lris2201,0.01896,1776.6997,220.37224,2.641212,0.653168,104.84385,0.034358,10.586656,10.35425,4.103994,26.805424,26.159931,19.938103,19.962204,20.966984,0.16149755218354012
J075903.444+281131.897,119.7643514,28.1921937,19.975506,Nanni,M6,lris2201,0.040702,3210.5198,890.8496,2.474816,0.60131,131.6562,0.096205,17.087048,19.447443,4.574131,25.97596,25.042,19.418333,19.277843,20.849228,0.16869391544329157
J082007.630+241228.303,125.0317897,24.2078619,20.262846,Nanni,unknown,lris2201,0.067788,1763.0294,434.13495,2.483101,0.588457,78.71606,0.067274,13.259457,12.643189,3.673404,25.422125,25.430386,19.693686,19.745358,21.087328,0.2545568444563861
J083100.140+255856.612,127.7505831,25.9823921,20.026593,Nanni,M6,lris2201,0.058976,1779.6254,356.29068,2.804552,0.600285,110.57923,0.155104,11.875537,10.136308,5.551227,25.573303,24.523445,19.813366,19.9853,20.639029,0.2659908859828188
PSO132.46053+26.02515,132.4605347,26.02515937,21.47510466,Eduardo,M8,lris2201,0.043602,2155.6072,519.29816,3.258015,0.657158,83.25055,0.111808,1.702891,0.279183,2.951967,25.901245,24.878815,21.922033,23.885277,21.32472,0.0871053158107281
J093614.912+324412.762,144.0621343,32.7368782,20.109776,Nanni,M8,lris2201,-0.023652,494.92374,420.08563,3.20556,0.704915,186.0036,0.144388,6.388557,8.710896,5.005251,NaN,24.60117,20.486492,20.149843,20.751434,0.286356024124189
J093646.027+334601.906,144.1917789,33.767196,20.14139,Nanni,M7,lris2201,-0.026214,562.5983,133.90471,3.222533,0.723409,58.672848,0.334737,13.572598,14.423491,3.834488,NaN,23.688242,19.668343,19.602324,21.040731,0.3216794313894509
J093855.309+333259.981,144.7304549,33.5499948,20.248297,Nanni,M6,lris2201,0.077745,598.68506,227.17294,3.064816,0.695395,95.78055,0.334844,5.876368,3.462965,4.891985,25.273325,23.687895,20.577227,21.15138,20.776287,0.32772807481846544
PSO150.91414-26.17123,150.9141486,-26.17123304,19.70862472,Eduardo,M6,lris2201,0,0,0,2.442033,0.632012,51.084583,0,51.002254,65.03225,9.134348,Infinity,Infinity,18.231026,17.967178,20.098307,0.03937502729206226
J103038.422-003117.937,157.6600936,-0.5216491,19.94969,Nanni,M9.5,lris2201,0.032881,1494.6196,654.61194,2.736596,0.597706,112.90931,0.071693,17.782257,18.80562,3.9392,26.207634,25.361303,19.375032,19.314281,21.01148,0.2909643357813375
J114519.834+093346.329,176.3326434,9.5628692,20.296973,Nanni,unknown,lris2201,0.091784,1095.7917,501.30444,2.625384,0.587881,71.03093,0.131873,13.742454,16.188816,3.278466,25.093077,24.69961,19.654839,19.476963,21.210823,0.4298944140765534
J114601.438+003939.313,176.5059903,0.6609202,20.329947,Nanni,unknown,lris2201,-0.047661,1583.6058,509.6633,2.590939,0.604214,136.40952,-0.152069,12.308244,14.940946,2.578135,NaN,NaN,19.77451,19.564054,21.471737,0.20813296999978725
J120607.797-005105.566,181.5324868,-0.851546,20.993145,Nanni,unknown,lris2201,0.150218,521.83636,278.01367,2.624897,0.578936,57.779884,0.339712,10.482556,8.882775,1.640686,24.558195,23.672224,19.948832,20.128628,21.962437,0.44953391511659024
J120913.885+013514.245,182.3078526,1.5872904,20.20401,Nanni,L0,lris2201,-0.095812,679.30334,446.6017,2.7943,0.578515,124.44262,0.078638,12.142903,10.922469,2.678449,NaN,25.260912,19.789194,19.904198,21.430292,0.4589618702863894
J124151.072-013408.860,190.4628004,-1.5691277,20.264218,Nanni,M4.5,lris2201,-27.239515,0.001058,13.466915,2.81279,0.616974,125.09222,0.562646,15.541692,17.81058,4.964619,NaN,23.124413,19.521254,19.373304,20.760284,0.38403200517761477
PSO191.53177-30.76243,191.5317764,-30.76243817,18.89447156,Eduardo,M6,lris2201,,,,,,,,,,,,,,,,
J125633.959-030659.668,194.1414968,-3.1165745,21.280537,Nanni,unknown,lris2201,0.104598,656.5791,70.44058,2.806942,0.584668,54.69296,0.22587,6.358619,6.779828,2.667913,24.95119,24.115355,20.491592,20.421953,21.43457,0.3320253964403502
PSO196.43177-15.82881,196.4317718,-15.82881823,19.86355603,Eduardo,M7,lris2201,,,,,,,,,,,,,,,,
J132636.653+092719.329,201.6527212,9.4553692,20.120821,Nanni,M9,lris2201,0.015395,1708.4507,549.3182,3.217529,0.700718,128.8494,0.028344,10.36179,9.978012,3.221457,27.031559,26.368847,19.961412,20.00239,21.22987,0.09041180294732598
J1100+0203,165.012075,2.050105,22.9,Nanni,unknown,lris2203,0.130843,1119.3057,368.31726,3.018033,0.622363,53.594574,0.397059,1.953147,0.50901,0.276332,24.708126,23.502863,21.773163,23.233185,23.896421,4.344949209376775
J1143-0248,175.9837875,-2.808171389,23.1,Nanni,unknown,lris2203,,,,,,,,,,,,,,,,
J1200+0112,180.0132417,1.203996667,23.2,Nanni,unknown,lris2203,,,,,,,,,,,,,,,,
J1223+0114,185.79745,1.234805833,21.5,Nanni,L1.5,lris2203,0.021374,1242.8679,389.0713,2.790955,0.572547,61.02417,0.071983,6.343148,8.231467,2.555763,26.67527,25.356924,20.494238,20.211308,21.4812,0.0021002216035089076
J1250+0347,192.6192292,3.784240556,21.8,Nanni,unknown,lris2203,0.024155,1159.6522,350.61725,2.860529,0.619037,89.17886,0.110828,5.260812,4.618595,1.862873,26.542461,24.888378,20.697369,20.838726,21.824541,0.0030902070799578053
J1319+0101,199.86465,1.032304722,21.2,Nanni,qso,lris2203,-0.017374,1889.7642,484.50116,3.136039,0.642746,101.494385,0.115904,2.101399,2.351107,3.137484,NaN,24.839752,21.69373,21.57182,21.258547,0.005116873967767343
J1327-0207,201.8313583,-2.120721111,22.9,Nanni,L0.5,lris2203,0.008424,1489.5494,573.0593,3.213608,0.704098,140.65482,0.060243,4.308279,4.889345,0.752816,27.686218,25.55023,20.91424,20.776873,22.808279,0.00285961158416801
J1335+0103,203.7680417,1.065495833,21.8,Nanni,M4.5,lris2203,0.033835,1363.1086,530.0714,3.205207,0.6728,68.50466,0.099696,2.406276,3.450262,1.795286,26.176594,25.00331,21.546637,21.15537,21.864666,0.004121199481493338
J1355-0044,208.7694417,-0.7390397222,21.6,Nanni,unknown,lris2203,-0.000426,1092.7554,133.00931,3.025649,0.684378,71.52255,0.279893,6.998609,5.730826,2.266153,NaN,23.88252,20.38747,20.604458,21.611776,0.0008980852367400579
J1355-0111,208.9151167,-1.191522778,22.9,Nanni,unknown,lris2203,0.058454,1620.718,237.56616,3.2077,0.684363,87.66702,0.101435,3.631814,6.829308,0.732903,25.582964,24.984533,21.099691,20.414059,22.837383,0.0006911788092492259
J1356+0050,209.1527,0.8443605556,22.6,Nanni,unknown,lris2203,0.021016,2764.5286,846.11536,3.242626,0.715056,129.65019,0.037649,1.094533,-0.733516,0.892317,26.693617,26.060617,22.401928,NaN,22.623701,0.0011293668076989645
J1358-0118,209.6824917,-1.305868611,21.5,Nanni,M9,lris2203,0.024764,1159.9265,611.33484,3.170753,0.677349,60.069283,0.073022,5.721922,6.812776,2.564613,26.515457,25.341366,20.606146,20.416689,21.477446,0.003786304718451339
J1422+0307,215.6110542,3.131717778,21.9,Nanni,M9,lris2203,0.007433,1146.8777,448.75,3.315255,0.674036,66.36876,0.109776,6.380488,7.87498,1.788811,27.822048,24.898737,20.487865,20.259377,21.86859,0.00021811272086574805
J0810+2352,122.6678542,23.87641444,20.8,Nanni,M9,lris2203,0.021003,775.53174,336.65146,2.389926,0.547403,38.637897,0.06212,9.678658,10.041686,4.786501,26.694271,25.516928,20.035461,19.995483,20.799955,6.669140876768614e-05
J0850+0146,132.5352292,1.77861,22.1,Nanni,L1.5,lris2203,-0.014716,2040.1122,912.2777,3.288332,0.686087,120.42608,0.027045,7.982997,11.361897,1.466662,NaN,26.419798,20.244585,19.861372,22.084175,0.0033085338417242305
J0901+2906,135.4088917,29.11542889,20.9,Nanni,qso,lris2203,-0.060652,1308.9775,367.53775,3.190716,0.680236,100.32504,0.019695,9.070099,9.912363,4.512681,NaN,26.764107,20.10597,20.009558,20.863913,0.0011609969383603671
