#ID , RA , DEC , z , Discovery Ref ,,,,
J031343.84-180636.40,03:13:43.84,-18:06:36.40,7.62,Wang21,,,,
J134208.10+092838.61,13:42:08.10,+09:28:38.61,7.54,Banados18,,,,
J100758.26+211529.21,10:07:58.26,+21:15:29.21,7.5149,Yang20,,,,
J112001.48+064124.30,11:20:01.48,+06:41:24.30,7.0842,Mortlock11,,,,
J094223.14+192123.55,09:42:23.14,+19:21:23.55,7.083,Koptelova&Hwang19,,,,
J124353.93+010038.50,12:43:53.93,+01:00:38.50,7.07,Matsuoka19,,,,
J003836.10-152723.60,00:38:36.10,-15:27:23.60,7.021,Wang18,,,,
J235646.33+001747.30,23:56:46.33,+00:17:47.30,7.01,Matsuoka19b,,,,
J025216.64-050331.80,02:52:16.64,-05:03:31.80,7.00,Yang18,,,,
J131746.92+001722.20,13:17:46.92,+00:17:22.20,6.94,Matsuoka21,,,,
J134905.63+015608.90,13:49:05.63,+01:56:08.90,6.94,Matsuoka21,,,,
J160953.03+532821.00,16:09:53.03,+53:28:21.00,6.92,Matsuoka19b,,,,
J083946.88+390011.50,08:39:46.88,+39:00:11.50,6.905,Wang19,,,,
J234833.34-305410.00,23:48:33.34,-30:54:10.00,6.9018,Venemans13,,,,
J221027.24+030428.50,22:10:27.24,+03:04:28.50,6.9,Matsuoka18,,,,
J221100.60-632055.80,22:11:00.60,-63:20:55.80,6.88,Yang18,,,,
J024655.90-521949.90,02:46:55.90,-52:19:49.90,6.87,Yang18,,,,
J120505.09-000027.90,12:05:05.09,-00:00:27.90,6.85,Matsuoka16,,,,
J021430.90+023240.40,02:14:30.90,+02:32:40.40,6.85,Matsuoka21,,,,
J002031.47-365341.80,00:20:31.47,-36:53:41.80,6.834,Reed19,,,,
J031941.66-100846.00,03:19:41.66,-10:08:46.00,6.83,Yang18,,,,
J112925.37+184624.29,11:29:25.37,+18:46:24.29,6.823,Banados21,,,,
J011257.84+011042.40,01:12:57.84,+01:10:42.40,6.82,Matsuoka19b,,,,
J131050.13-005054.10,13:10:50.13,-00:50:54.10,6.82,Matsuoka21,,,,
J041128.62-090749.70,04:11:28.62,-09:07:49.70,6.81,Pons18 and Wang19,,,,
J142903.08-010443.40,14:29:03.08,-01:04:43.40,6.8,Matsuoka17,,,,
J010953.13-304726.30,01:09:53.13,-30:47:26.30,6.79,Venemans13,,,,
J161207.12+555919.20,16:12:07.12,+55:59:19.20,6.78,Matsuoka19b,,,,
J021847.04+000715.00,02:18:47.04,+00:07:15.00,6.78,Matsuoka21,,,,
J021847.03+000715.35,02:18:47.03,+00:07:15.35,6.77,Yang20,,,,
J082931.97+411740.40,08:29:31.97,+41:17:40.40,6.768,Wang19,,,,
J110421.59+213428.80,11:04:21.59,+21:34:28.80,6.74,Wang19,,,,
