t1_name,t1_redshift,t1_radeg,t1_decdeg,t1_japermag3,t1_japermag3err,ls_id,dec,ra,elat,elon,glat,glon,mjd_max,mjd_min,ref_id,brickid,blob_nea_g,blob_nea_r,blob_nea_z,bx,by,dchisq_1,dchisq_2,dchisq_3,dchisq_4,dchisq_5,dec_ivar,dered_flux_g,dered_flux_r,dered_flux_w1,dered_flux_w2,dered_flux_w3,dered_flux_w4,dered_flux_z,dered_mag_g,dered_mag_r,dered_mag_w1,dered_mag_w2,dered_mag_w3,dered_mag_w4,dered_mag_z,ebv,fiberflux_g,fiberflux_r,fiberflux_z,fibertotflux_g,fibertotflux_r,fibertotflux_z,flux_g,flux_ivar_g,flux_ivar_r,flux_ivar_w1,flux_ivar_w2,flux_ivar_w3,flux_ivar_w4,flux_ivar_z,flux_r,flux_w1,flux_w2,flux_w3,flux_w4,flux_z,fracflux_g,fracflux_r,fracflux_w1,fracflux_w2,fracflux_w3,fracflux_w4,fracflux_z,fracin_g,fracin_r,fracin_z,fracmasked_g,fracmasked_r,fracmasked_z,gaia_a_g_val,gaia_astrometric_excess_noise,gaia_astrometric_excess_noise_sig,gaia_astrometric_sigma5d_max,gaia_astrometric_weight_al,gaia_e_bp_min_rp_val,gaia_phot_bp_mean_flux_over_error,gaia_phot_bp_mean_mag,gaia_phot_bp_rp_excess_factor,gaia_phot_g_mean_flux_over_error,gaia_phot_g_mean_mag,gaia_phot_rp_mean_flux_over_error,gaia_phot_rp_mean_mag,galdepth_g,galdepth_r,galdepth_z,g_r,htm9,mag_g,mag_r,mag_w1,mag_w2,mag_w3,mag_w4,mag_z,mw_transmission_g,mw_transmission_r,mw_transmission_w1,mw_transmission_w2,mw_transmission_w3,mw_transmission_w4,mw_transmission_z,nea_g,nea_r,nea_z,nest4096,objid,parallax_ivar,parallax,pmdec_ivar,pmdec,pmra_ivar,pmra,psfdepth_g,psfdepth_r,psfdepth_w1,psfdepth_w2,psfdepth_w3,psfdepth_w4,psfdepth_z,psfsize_g,psfsize_r,psfsize_z,ra_ivar,random_id,rchisq_g,rchisq_r,rchisq_w1,rchisq_w2,rchisq_w3,rchisq_w4,rchisq_z,ref_epoch,ring256,r_z,sersic_ivar,sersic,shape_e1_ivar,shape_e1,shape_e2_ivar,shape_e2,shape_r_ivar,shape_r,snr_g,snr_r,snr_w1,snr_w2,snr_w3,snr_w4,snr_z,w1_w2,w2_w3,w3_w4,wise_x,wise_y,z_w1,allmask_g,allmask_r,allmask_z,anymask_g,anymask_r,anymask_z,brick_primary,fitbits,gaia_astrometric_n_good_obs_al,gaia_astrometric_n_obs_al,gaia_astrometric_params_solved,gaia_duplicated_source,gaia_phot_bp_n_obs,gaia_phot_g_n_obs,gaia_phot_rp_n_obs,gaia_phot_variable_flag,maskbits,nobs_g,nobs_r,nobs_w1,nobs_w2,nobs_w3,nobs_w4,nobs_z,release,wisemask_w1,wisemask_w2,brickname,ref_cat,type,wise_coadd_id,dist_arcsec
SWJ013238.33+292602.57   ,4.45 ,23.1597083,29.4340472,18.53236,0.111551,9906632092159784,29.434067578994327,23.15971165034466,18.33787921148978,32.480459243051676,-32.58418417528483,133.5823352497959,58486.03761916074,56882.39631487259,303150164826398848,493254,5.843647,3.165293,5.156695,764.80493,893.9416,37933.574,37933.49,37933.504,37933.54,0,1.0488015e+13,0.850273,9.009988,20.368402,20.708601,84.644135,-295.44034,16.749645,22.676104,20.11319,19.227608,19.209623,17.681007,NaN,19.439985,0.060431,0.553738,6.220523,12.194633,0.553738,6.220523,12.194633,0.710998,1264.4976,275.17047,3.01624,0.707562,0.001442,1.9e-05,80.52541,7.987135,20.16087,20.578764,84.53067,-295.29074,15.657877,0,0,0.055541,0.058325,0.156339,2.033478,0,0.997246,0.996378,0.991855,0.005293,0.006056,0.012737,NaN,0,0,2.44494,0.023819,NaN,3.078386,21.553108,1.534401,62.319565,20.705261,32.85242,19.58212,944.3207,276.93906,55.030533,2.626307,4133619,22.870329,20.244022,19.238728,19.216452,17.682465,NaN,19.513168,0.8362,0.886476,0.989811,0.99373,0.998659,0.999494,0.934818,5.843496,3.165214,5.156305,8822831,3880,0.337165,3.544834,0.15198,-1.030575,0.176909,-0.661436,1374.476,506.48126,4.502889,0.830218,0.001425,1.9e-05,87.38464,1.613489,1.17962,1.51609,5.6665865e+12,57.160877,1.403336,1.814592,0.481903,0.477116,0.665908,0.143872,2.475485,2015.5,199234,0.730854,0,0,0,0,0,0,0,0,25.282942,132.4927,35.01404,17.310177,3.210237,-1.288416,140.50745,0.022276,1.533987,NaN,74.71186,85.519135,0.274441,0,0,0,0,0,0,1,128,70,71,31,0,5,70,7,0,0,2,2,197,196,21,22,4,9010,0,0,0230p295,G2,PSF,0240p287,0.07411258040087633
SWJ012026.86+223058.55   ,4.59 ,20.1119167,22.5162639,18.495203,0.114602,9906629711628193,22.516281573153545,20.11191949141091,13.002570784734207,27.09303320903156,-39.8627156444198,131.67065207493178,58068.11618517073,56881.30112766259,292772699205174528,456930,6.113936,5.697455,3.545584,2094.177,2023.2391,38198.586,38195.867,38196.17,38196.645,0,2.167688e+13,0.956014,8.346345,16.678144,16.288773,43.87071,357.1719,16.376478,22.54884,20.196259,19.444632,19.47028,18.394564,16.117807,19.464449,0.048571,0.64454,5.897427,12.075953,0.64454,5.897427,12.075953,0.827983,1584.646,315.47873,2.943103,0.660301,0.001439,1.9e-05,78.9934,7.575893,16.541424,16.206638,43.823437,357.02652,15.512891,0,0,0.085083,0.05526,0.112952,0.725979,0,0.994717,0.988492,0.994924,0.007139,0.012765,0.01115,NaN,0,0,2.342565,0.032272,NaN,4.651149,21.532082,1.753933,93.563545,20.599308,15.726374,19.274391,1188.7124,284.99823,49.86227,2.403532,4116205,22.704947,20.301414,19.453568,19.475767,18.395735,16.118248,19.523268,0.866078,0.90769,0.991802,0.994958,0.998922,0.999593,0.947267,6.113742,5.697013,3.545414,8520807,1953,1.132835,1.380686,0.214166,1.628151,0.149546,-2.734243,1747.4143,449.83737,4.166637,0.748021,0.001454,1.9e-05,88.469574,1.642709,1.582436,1.261063,1.9630318e+13,40.700848,1.385107,1.093768,0.843482,0.456587,0.608374,0.136158,1.209413,2015.5,242233,0.778147,0,0,0,0,0,0,0,0,32.960026,134.5609,28.377598,13.169341,1.662471,1.564123,137.87582,-0.0222,1.080032,2.277487,200.06314,193.48074,0.0697,0,0,0,0,0,0,1,128,116,116,31,0,7,115,12,0,0,3,3,193,186,23,23,3,9010,0,0,0201p225,G2,PSF,0195p227,0.06429701363329646
SWJ003941.03+202554.85   ,4.61 ,9.9209583,20.4319028,17.5935,0.034464,9906629005214601,20.431890532156253,9.920932713401468,14.836763880406878,17.270753020694496,-42.35477480450045,119.20464859672938,58398.10563890073,56880.41537034259,2795588749768248448,446151,6.978857,4.621238,4.993414,2817.573,863.8895,121826.8,121829.09,121831.125,121831.086,0,1.3158523e+14,0.585422,16.08119,95.79694,81.77399,254.78477,1303.4344,31.430513,23.081327,19.484205,17.546621,17.718462,16.484566,14.712277,18.75662,0.037997,0.406777,11.591753,23.425142,0.406777,11.591753,23.425142,0.523142,1665.3282,199.43082,1.836766,0.522274,0.000881,1.1e-05,84.899796,14.907763,95.18205,81.45124,254.56998,1303.0194,30.126284,0.00028,6e-06,0.011399,0.009861,75.874504,67.833,1.1e-05,0.998816,0.9989,0.998232,0.006466,0.005199,0.008383,NaN,0,0,0.963369,0.068998,NaN,7.348291,21.446795,1.414195,228.04037,20.01987,36.770584,18.880013,1255.7184,249.72844,76.60587,3.636982,4119170,23.203451,19.56647,17.553612,17.722755,16.485481,14.712623,18.802635,0.893615,0.927031,0.993581,0.996053,0.999157,0.999682,0.958504,6.978671,4.621143,4.993279,81362341,905,2.381337,-0.347499,2.46276,0.25562,0.972275,-0.414899,1770.6721,396.13885,4.134745,0.737936,0.000811,1.1e-05,123.28798,1.758209,1.432067,1.482123,4.3713045e+13,10.561296,1.012524,2.536104,1.810726,0.946078,0.372546,0.134681,1.152705,2015.5,255516,0.763834,0,0,0,0,0,0,0,0,21.348604,210.52739,128.99773,58.863594,7.554232,4.399388,277.58685,-0.169144,1.237274,1.772859,268.80658,82.091064,1.249023,0,0,0,0,0,0,1,128,361,365,31,0,22,361,35,0,0,3,3,193,192,13,13,4,9010,0,0,0100p205,G2,PSF,0096p196,0.09695911512529239
SDSSJ030315.05-000347.6  ,4.72 ,45.8127083,-0.0632222,-999999500,-999999500,9906621429253388,-0.0632921756615424,45.812704919145126,-16.633315067338494,43.32740965748722,-48.357507684258515,177.8783261077209,58406.25359057074,56884.37583768259,0,330551,4.814414,3.222423,2.283111,2655.4634,929.83563,4821.9766,4819.6055,4820.371,4821.407,0,2.1005287e+11,0.205952,1.395739,5.695457,6.449484,13.97071,787.78986,4.132761,24.215582,22.137989,20.61118,20.476187,19.636953,15.258974,20.9594,0.107575,0.116442,0.875561,2.849529,0.116442,0.875561,2.849529,0.149785,1649.5312,1120.0892,3.198829,0.680792,0.001549,1.1e-05,250.38869,1.126274,5.592565,6.377678,13.937389,787.0799,3.665479,0,0,0.522245,0.276019,1.272392,0.948662,0,0.990121,0.979054,0.990948,0.012232,0.009612,0.011098,0,0,0,0,0,0,0,0,0,0,0,0,0,1049.0941,667.48724,127.52301,2.190439,2244644,24.561329,22.37089,20.630972,20.488344,19.639547,15.259953,21.089672,0.727279,0.806937,0.981934,0.988866,0.997615,0.999099,0.886932,4.814039,3.156917,2.283005,95069739,1292,0,0,0,0,0,0,1707.9142,1278.1592,4.13828,0.734746,0.001484,1.1e-05,273.5044,1.456027,1.193815,1.007417,1.8866964e+11,13.021485,1.101683,0.999008,0.77605,0.545086,0.658514,0.18957,1.006066,0,392834,1.281218,0,0,0,0,0,0,0,0,6.083428,37.693844,10.002454,5.262228,0.548533,2.631403,58.001354,0.142628,0.848797,4.379595,252.86835,88.676796,0.4587,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,193,176,25,13,4,9010,0,0,0458p000,"",PSF,0453p000,0.2522062309446265
SWJ000754.08-031730.82   ,4.76 ,1.9753333,-3.2918944,18.285954,0.049764,9906620191021768,-3.2919102243172755,1.9753192118569733,-3.8056901415152633,0.5013631208105317,-63.99031099458158,97.47197394905967,58409.13156382074,56537.27871376259,2445299669603196032,311657,5.359337,3.088156,2.780612,459.114,1223.5686,84264.44,84302.99,84306.05,84306.21,0,1.5652118e+12,0.168123,4.769228,25.085917,25.017618,217.13756,882.7037,18.050474,24.435934,20.803879,19.001425,19.004385,16.658163,15.135463,19.358778,0.037328,0.117045,3.442221,13.462433,0.117045,3.442221,13.462433,0.150535,2357.323,1016.334,2.663388,0.615409,0.000727,1e-05,214.47,4.427129,24.927725,24.920614,216.95772,882.42755,17.31438,0,0,0.043609,0.047215,0.222697,0.719429,0,0.991606,0.831278,0.920061,0.009773,0.006754,0.043877,NaN,1.685072,0.334407,12.965249,0.014573,NaN,4.660785,21.879408,1.674103,53.65541,20.9081,12.556315,19.636368,1526.0006,786.31635,155.53188,3.671211,2097532,24.555906,20.884695,19.008293,19.008604,16.659061,15.135802,19.403982,0.895388,0.928269,0.993694,0.996123,0.999172,0.999687,0.95922,5.34123,3.095436,2.493444,71167587,6856,0,0,0,0,0,0,2381.7832,1464.0635,3.86097,0.697731,0.000727,1e-05,317.30838,1.539015,1.171311,1.092258,7.913828e+11,24.885048,0.947199,1.938864,0.591294,0.395806,0.557699,0.110802,1.472144,2015.5,415237,1.480713,0,0,0,0,0,0,0,0,7.308821,141.13684,40.68177,19.549732,5.850689,2.777065,253.56554,-0.000311,2.349543,1.523259,43.761303,117.04953,0.395689,0,0,0,0,0,0,1,128,111,111,3,0,5,113,11,0,0,7,5,199,191,13,13,7,9010,0,0,0018m032,G2,PSF,0015m031,0.0762172236969779
SDSSJ000749.16+004119.6  ,4.78 ,1.954875,0.6887806,19.1498,0.097849,9906621700840443,0.6887634979256892,1.954854804437645,-0.1454771875702719,2.067496624955399,-60.27017351113641,100.5089176387877,58392.24567323074,56537.25927630259,0,334695,4.628389,3.036584,2.912168,702.33636,958.0913,33012.336,33023.043,33024.36,33024.395,0,1.2346347e+12,0.062542,2.668214,8.15919,6.357628,142.07622,-2005.9098,7.54482,25.509577,21.434448,20.220882,20.491762,17.118696,NaN,20.305878,0.043306,0.042828,1.905262,5.5964,0.042835,1.905274,5.596425,0.055017,4202.5396,2575.0112,2.739267,0.608079,0.000798,1.1e-05,340.46814,2.44747,8.099528,6.329038,141.93971,-2005.1819,7.189047,0.232599,0.00096,0.718571,0.918552,0.544855,1.653986,0.001017,0.998162,0.998824,0.998202,0.021792,0.015803,0.019523,0,0,0,0,0,0,0,0,0,0,0,0,0,2561.1313,1752.3962,196.76743,4.120558,4063352,25.648764,21.528206,20.228851,20.496656,17.11974,NaN,20.358322,0.879681,0.917269,0.992688,0.995503,0.999039,0.999637,0.952845,4.627725,3.03643,2.911926,74102235,7163,0,0,0,0,0,0,4230.9404,3296.9463,3.588556,0.669151,0.000728,1e-05,388.82425,1.429093,1.160869,1.135864,1.2260784e+12,60.03347,1.06677,1.882757,0.66745,0.510703,0.564654,0.096185,1.717075,0,388613,1.169884,0,0,0,0,0,0,0,0,3.566566,124.19581,13.405312,4.935346,4.009784,-6.74002,132.65071,-0.267805,3.376917,NaN,66.57984,91.23641,0.129471,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,9,175,175,15,15,9,9010,0,0,0018p007,"",PSF,0015p000,0.09526628151151753
SDSSJ001529.86-004904.3  ,4.93 ,3.8744167,-0.8178611,19.620668,0.126302,9906621135130705,-0.8178800606130111,3.874413912894204,-2.290797799665629,3.23061057853079,-62.311431478636244,103.29417995777779,58409.17241712073,56537.27131492258,0,326063,5.583211,2.605758,3.218065,1807.5522,866.79645,6372.297,6400.847,6430.9497,6409.0967,0,2.313559e+11,0.08858,0.797312,3.556515,2.151024,-18.900421,-299.1767,4.583984,25.131662,22.745928,21.122438,21.668386,NaN,NaN,20.846891,0.038205,0.061506,0.574434,3.415339,0.080169,0.613582,3.508332,0.079108,3752.0085,2371.8923,2.767758,0.618146,0.000717,9e-06,261.9351,0.738827,3.533562,2.142488,-18.8844,-299.08093,4.39275,0.629272,0.055811,8.231728,13.425019,3.461218,5.589975,0.040638,0.950215,0.999992,0.866009,0.011579,0.11812,0.011289,0,0,0,0,0,0,0,0,0,0,0,0,0,2449.8313,1316.3356,147.81563,2.42581,2097905,25.254454,22.828644,21.129469,21.672705,NaN,NaN,20.893158,0.893066,0.926647,0.993546,0.996032,0.999152,0.99968,0.958282,4.962373,2.926201,2.954965,74074138,4177,0,0,0,0,0,0,3872.2195,2551.029,3.972632,0.707681,0.000715,1e-05,286.54816,1.535935,1.140049,1.174125,2.1516027e+11,84.87817,1.10245,0.951846,2.110987,0.330375,0.400959,0.102564,1.155465,0,397835,1.935486,0,0,0,0,0,0,0,0,4.84563,35.982418,5.878638,1.684473,-0.505724,-0.920928,71.09406,-0.543236,NaN,NaN,171.98541,82.34221,-0.236311,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,10,8,192,182,13,13,8,9010,0,0,0038m007,"",PSF,0045m016,0.06899155770141283
SDSSJ000239.39+255034.8  ,5.82 ,0.664125,25.8430389,18.457941,0.091032,9906630829410784,25.843007855861757,0.6641463122377255,23.315066147199047,11.492176246630837,-35.742249151280234,109.385292634751,58426.10181475074,56881.3329434626,0,473986,4.778636,4.179111,6.112245,2147.7524,3077.509,26169.723,26170.965,26171.268,26171.242,0,5.401688e+11,0.025788,1.176127,25.957314,31.754215,85.38362,484.1954,19.620945,26.471472,22.323864,18.96435,18.745497,17.671564,15.787448,19.2682,0.036994,0.017967,0.849254,14.63593,0.017967,0.849254,14.63593,0.023113,2034.7671,532.432,2.963504,0.688807,0.001197,1.4e-05,72.06033,1.092489,25.795084,31.632187,85.31354,484.0453,18.827808,0.001148,0.000116,0.061145,0.01722,0.16748,1.047891,0.000233,0.999366,0.999315,0.998316,0.005173,0.005496,0.011945,0,0,0,0,0,0,0,0,0,0,0,0,0,1285.8943,353.0215,56.841927,4.186415,4100733,26.590372,22.403957,18.971157,18.749678,17.672455,15.787785,19.313,0.896272,0.928887,0.99375,0.996157,0.999179,0.99969,0.959577,4.778532,4.17902,6.11192,83039201,2528,0,0,0,0,0,0,2040.3839,604.3606,4.823886,0.865051,0.001269,1.6e-05,88.625046,1.448977,1.356352,1.639844,6.309641e+11,70.95633,0.90802,0.920324,0.504675,0.657351,0.877583,0.187518,1.775778,0,221698,3.090958,0,0,0,0,0,0,0,0,1.042578,25.20862,44.405804,26.252953,2.951574,1.841366,159.82617,0.221479,1.077223,1.88467,206.0175,294.06067,0.341843,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,208,208,17,16,3,9010,0,0,0006p257,"",PSF,0000p257,0.13137006391582295
SDSSJ000552.34-000655.8  ,5.85 ,1.4680833,-0.1155,19.745247,0.192736,9906621417594366,-0.1154717754104015,1.4680872129228264,-0.6898666886988487,1.3010744518455202,-60.85303370847628,99.00813979115216,58066.057252590734,56537.26395552259,0,330373,6.259239,3.320215,2.757069,520.4379,212.86067,5691.4624,5697.4443,5700.0493,5699.6704,0,2.3671231e+11,0.004392,0.276061,8.097157,10.120985,-34.603973,-658.61304,4.873981,28.393425,23.897486,20.229168,19.986942,NaN,NaN,20.78029,0.033398,0.003093,0.20081,3.650973,0.003093,0.20081,3.650973,0.003978,3172.368,1658.6299,2.891724,0.604671,0.000444,5e-06,253.33858,0.258276,8.051458,10.085866,-34.57833,-658.4287,4.695762,0.186644,0.001681,0.183721,0.172197,1.780041,2.872713,0.000473,0.990109,0.996064,0.993707,0.021629,0.014986,0.030073,0,0,0,0,0,0,0,0,0,0,0,0,0,2063.5474,939.8091,135.77063,4.530973,2097299,28.500765,23.969791,20.235313,19.990717,NaN,NaN,20.820734,0.905866,0.935573,0.994356,0.99653,0.999259,0.99972,0.963434,6.257867,3.320021,2.75652,74092408,7678,0,0,0,0,0,0,3158.5332,1725.8024,3.737794,0.670053,0.000613,8e-06,276.70523,1.661142,1.204672,1.106187,2.293418e+11,41.239555,1.082238,1.000377,0.787685,0.916537,0.490767,0.113803,0.996345,0,393732,3.149057,0,0,0,0,0,0,0,0,0.224071,10.518602,13.691561,7.842828,-0.728987,-1.50465,74.74062,0.244596,NaN,NaN,49.814384,20.348783,0.585421,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,5,186,178,8,7,7,9010,0,0,0013p000,"",PSF,0015p000,0.10258031563883738
SDSSJ030331.40-001912.9  ,6.07 ,45.8808333,-0.32025,20.118309,0.196466,9906621334883137,-0.3202756368720797,45.88083458696465,-16.89901849436535,43.31785012707663,-48.48336289734898,178.23119580231383,58406.25359057074,56884.37583768259,0,329111,6.413265,3.797815,2.225253,1719.3313,833.88007,2921.7712,2922.0654,2922.304,2922.4106,0,1.3768027e+11,0.022434,-0.021535,7.244098,8.516889,71.416084,259.79572,4.152746,26.62274,NaN,20.350039,20.174297,17.865509,16.46342,20.954163,0.109018,0.012648,0,2.862796,0.012648,0,2.862796,0.016246,1962.5599,902.3053,3.093899,0.663301,0.001496,1e-05,216.1726,-0.017327,7.11149,8.4208,71.24348,259.55844,3.677284,0.005914,0.006619,0.817227,0.496094,0.496333,3.247758,5.3e-05,0.920695,0.891882,0.995688,0.021698,0.021819,0.022724,0,0,0,0,0,0,0,0,0,0,0,0,0,1334.195,498.0087,107.90841,NaN,2244662,26.973124,NaN,20.370098,20.186617,17.868137,16.464413,21.086182,0.72418,0.80462,0.981694,0.988718,0.997583,0.999087,0.885507,5.767486,2.845441,2.225113,95068476,2881,0,0,0,0,0,0,1989.3523,937.5417,4.1466,0.727182,0.001439,1e-05,234.92935,1.661379,1.245072,1.000865,1.2787179e+11,11.949971,0.886955,1.086291,0.6914,0.745237,0.515932,0.094251,1.102756,0,394882,NaN,0,0,0,0,0,0,0,0,0.719717,-0.520484,12.508742,6.858174,2.755333,0.833292,54.066402,0.183481,2.31848,1.403725,163.67444,79.244,0.716084,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,190,172,24,12,3,9010,0,0,0458m002,"",PSF,0453p000,0.0924089522422628
