t1_name,t1_redshift,t1_radeg,t1_decdeg,t1_japermag3,t1_japermag3err,flux_g,flux_ivar_g,flux_ivar_r,flux_ivar_w1,flux_ivar_w2,flux_ivar_z,flux_r,flux_w1,flux_w2,flux_z,mag_g,mag_r,mag_w1,mag_w2,mag_z,dist_arcsec
SWJ013238.33+292602.57   ,4.45 ,23.1597083,29.4340472,18.53236,0.111551,0.710998,1264.4976,275.17047,3.01624,0.707562,80.52541,7.987135,20.16087,20.578764,15.657877,22.870329,20.244022,19.238728,19.216452,19.513168,0.07411258040087633
SWJ012026.86+223058.55   ,4.59 ,20.1119167,22.5162639,18.495203,0.114602,0.827983,1584.646,315.47873,2.943103,0.660301,78.9934,7.575893,16.541424,16.206638,15.512891,22.704947,20.301414,19.453568,19.475767,19.523268,0.06429701363329646
SWJ003941.03+202554.85   ,4.61 ,9.9209583,20.4319028,17.5935,0.034464,0.523142,1665.3282,199.43082,1.836766,0.522274,84.899796,14.907763,95.18205,81.45124,30.126284,23.203451,19.56647,17.553612,17.722755,18.802635,0.09695911512529239
SDSSJ030315.05-000347.6  ,4.72 ,45.8127083,-0.0632222,-999999500,-999999500,0.149785,1649.5312,1120.0892,3.198829,0.680792,250.38869,1.126274,5.592565,6.377678,3.665479,24.561329,22.37089,20.630972,20.488344,21.089672,0.2522062309446265
SWJ000754.08-031730.82   ,4.76 ,1.9753333,-3.2918944,18.285954,0.049764,0.150535,2357.323,1016.334,2.663388,0.615409,214.47,4.427129,24.927725,24.920614,17.31438,24.555906,20.884695,19.008293,19.008604,19.403982,0.0762172236969779
SDSSJ000749.16+004119.6  ,4.78 ,1.954875,0.6887806,19.1498,0.097849,0.055017,4202.5396,2575.0112,2.739267,0.608079,340.46814,2.44747,8.099528,6.329038,7.189047,25.648764,21.528206,20.228851,20.496656,20.358322,0.09526628151151753
SDSSJ001529.86-004904.3  ,4.93 ,3.8744167,-0.8178611,19.620668,0.126302,0.079108,3752.0085,2371.8923,2.767758,0.618146,261.9351,0.738827,3.533562,2.142488,4.39275,25.254454,22.828644,21.129469,21.672705,20.893158,0.06899155770141283
SDSSJ000239.39+255034.8  ,5.82 ,0.664125,25.8430389,18.457941,0.091032,0.023113,2034.7671,532.432,2.963504,0.688807,72.06033,1.092489,25.795084,31.632187,18.827808,26.590372,22.403957,18.971157,18.749678,19.313,0.13137006391582295
SDSSJ000552.34-000655.8  ,5.85 ,1.4680833,-0.1155,19.745247,0.192736,0.003978,3172.368,1658.6299,2.891724,0.604671,253.33858,0.258276,8.051458,10.085866,4.695762,28.500765,23.969791,20.235313,19.990717,20.820734,0.10258031563883738
SDSSJ030331.40-001912.9  ,6.07 ,45.8808333,-0.32025,20.118309,0.196466,0.016246,1962.5599,902.3053,3.093899,0.663301,216.1726,-0.017327,7.11149,8.4208,3.677284,26.973124,NaN,20.370098,20.186617,21.086182,0.0924089522422628
