#         Lambda    Transmission
           5000.0000            0.000118
           5010.0000            0.000123
           5020.0000            0.000123
           5030.0000            0.000131
           5040.0000            0.000139
           5050.0000            0.000144
           5060.0000            0.000150
           5070.0000            0.000149
           5080.0000            0.000149
           5090.0000            0.000161
           5100.0000            0.000173
           5110.0000            0.000166
           5120.0000            0.000181
           5130.0000            0.000189
           5140.0000            0.000196
           5150.0000            0.000189
           5160.0000            0.000182
           5170.0000            0.000195
           5180.0000            0.000208
           5190.0000            0.000220
           5200.0000            0.000232
           5210.0000            0.000277
           5220.0000            0.000267
           5230.0000            0.000285
           5240.0000            0.000302
           5250.0000            0.000332
           5260.0000            0.000363
           5270.0000            0.000396
           5280.0000            0.000429
           5290.0000            0.000424
           5300.0000            0.000419
           5310.0000            0.000497
           5320.0000            0.000577
           5330.0000            0.000644
           5340.0000            0.000710
           5350.0000            0.000793
           5360.0000            0.000874
           5370.0000            0.000960
           5380.0000            0.001044
           5390.0000            0.001152
           5400.0000            0.001341
           5410.0000            0.001458
           5420.0000            0.001670
           5430.0000            0.001893
           5440.0000            0.002117
           5450.0000            0.002411
           5460.0000            0.002701
           5470.0000            0.003027
           5480.0000            0.003352
           5490.0000            0.003882
           5500.0000            0.004418
           5510.0000            0.005725
           5520.0000            0.005312
           5530.0000            0.005963
           5540.0000            0.006615
           5550.0000            0.007488
           5560.0000            0.008361
           5570.0000            0.009554
           5580.0000            0.010747
           5590.0000            0.019313
           5600.0000            0.027836
           5610.0000            0.025760
           5620.0000            0.023684
           5630.0000            0.040390
           5640.0000            0.057095
           5650.0000            0.110814
           5660.0000            0.164621
           5670.0000            0.248027
           5680.0000            0.330405
           5690.0000            0.368007
           5700.0000            0.407150
           5710.0000            0.414384
           5720.0000            0.418382
           5730.0000            0.420872
           5740.0000            0.422708
           5750.0000            0.424063
           5760.0000            0.426745
           5770.0000            0.428925
           5780.0000            0.431109
           5790.0000            0.432985
           5800.0000            0.435539
           5810.0000            0.439143
           5820.0000            0.442760
           5830.0000            0.444269
           5840.0000            0.445781
           5850.0000            0.445942
           5860.0000            0.446100
           5870.0000            0.444214
           5880.0000            0.440973
           5890.0000            0.437671
           5900.0000            0.438447
           5910.0000            0.446403
           5920.0000            0.443296
           5930.0000            0.447819
           5940.0000            0.448221
           5950.0000            0.445929
           5960.0000            0.449150
           5970.0000            0.448189
           5980.0000            0.449985
           5990.0000            0.451866
           6000.0000            0.453750
           6010.0000            0.455747
           6020.0000            0.457128
           6030.0000            0.458565
           6040.0000            0.460006
           6050.0000            0.460952
           6060.0000            0.461198
           6070.0000            0.461473
           6080.0000            0.461747
           6090.0000            0.462402
           6100.0000            0.463759
           6110.0000            0.468330
           6120.0000            0.467061
           6130.0000            0.469409
           6140.0000            0.471762
           6150.0000            0.472336
           6160.0000            0.473623
           6170.0000            0.474402
           6180.0000            0.475895
           6190.0000            0.476447
           6200.0000            0.477266
           6210.0000            0.477170
           6220.0000            0.477075
           6230.0000            0.478316
           6240.0000            0.478842
           6250.0000            0.479055
           6260.0000            0.479268
           6270.0000            0.478490
           6280.0000            0.464038
           6290.0000            0.474791
           6300.0000            0.477353
           6310.0000            0.480285
           6320.0000            0.481771
           6330.0000            0.484620
           6340.0000            0.486021
           6350.0000            0.487839
           6360.0000            0.490386
           6370.0000            0.492110
           6380.0000            0.494566
           6390.0000            0.495501
           6400.0000            0.497167
           6410.0000            0.498548
           6420.0000            0.499931
           6430.0000            0.499572
           6440.0000            0.499945
           6450.0000            0.499774
           6460.0000            0.497413
           6470.0000            0.496466
           6480.0000            0.495516
           6490.0000            0.497965
           6500.0000            0.501882
           6510.0000            0.506062
           6520.0000            0.499217
           6530.0000            0.503933
           6540.0000            0.504989
           6550.0000            0.505465
           6560.0000            0.507414
           6570.0000            0.508660
           6580.0000            0.510648
           6590.0000            0.512074
           6600.0000            0.512761
           6610.0000            0.515689
           6620.0000            0.514805
           6630.0000            0.513361
           6640.0000            0.512652
           6650.0000            0.512961
           6660.0000            0.514007
           6670.0000            0.515889
           6680.0000            0.517034
           6690.0000            0.520447
           6700.0000            0.521267
           6710.0000            0.521184
           6720.0000            0.521844
           6730.0000            0.521589
           6740.0000            0.522076
           6750.0000            0.521513
           6760.0000            0.521692
           6770.0000            0.521637
           6780.0000            0.522323
           6790.0000            0.522583
           6800.0000            0.523584
           6810.0000            0.525437
           6820.0000            0.525633
           6830.0000            0.525993
           6840.0000            0.525609
           6850.0000            0.525445
           6860.0000            0.523796
           6870.0000            0.453981
           6880.0000            0.475554
           6890.0000            0.470028
           6900.0000            0.480647
           6910.0000            0.500444
           6920.0000            0.505731
           6930.0000            0.508393
           6940.0000            0.507354
           6950.0000            0.511484
           6960.0000            0.513391
           6970.0000            0.521008
           6980.0000            0.519024
           6990.0000            0.514222
           7000.0000            0.516235
           7010.0000            0.517138
           7020.0000            0.521016
           7030.0000            0.525735
           7040.0000            0.525218
           7050.0000            0.519694
           7060.0000            0.517883
           7070.0000            0.513695
           7080.0000            0.508754
           7090.0000            0.475601
           7100.0000            0.465835
           7110.0000            0.473255
           7120.0000            0.480721
           7130.0000            0.440968
           7140.0000            0.401998
           7150.0000            0.313055
           7160.0000            0.224290
           7170.0000            0.149391
           7180.0000            0.079756
           7190.0000            0.067633
           7200.0000            0.055515
           7210.0000            0.093343
           7220.0000            0.007810
           7230.0000            0.006453
           7240.0000            0.005036
           7250.0000            0.003454
           7260.0000            0.001846
           7270.0000            0.001387
           7280.0000            0.000915
           7290.0000            0.000852
           7300.0000            0.000779
           7310.0000            0.000950
           7320.0000            0.000783
           7330.0000            0.000563
           7340.0000            0.000333
           7350.0000            0.000314
           7360.0000            0.000295
           7370.0000            0.000291
           7380.0000            0.000289
           7390.0000            0.000337
           7400.0000            0.000387
           7410.0000            0.000469
           7420.0000            0.000257
           7430.0000            0.000256
           7440.0000            0.000255
           7450.0000            0.000258
           7460.0000            0.000262
           7470.0000            0.000258
           7480.0000            0.000254
           7490.0000            0.000364
           7500.0000            0.000301
           7510.0000            0.000359
           7520.0000            0.000357
           7530.0000            0.000356
           7540.0000            0.000355
           7550.0000            0.000354
           7560.0000            0.000353
           7570.0000            0.000351
           7580.0000            0.000349
           7590.0000            0.000324
           7600.0000            0.000146
           7610.0000            0.000128
           7620.0000            0.000227
           7630.0000            0.000197
           7640.0000            0.000215
           7650.0000            0.000253
           7660.0000            0.000300
           7670.0000            0.000326
           7680.0000            0.000344
           7690.0000            0.000351
           7700.0000            0.000355
           7710.0000            0.000355
           7720.0000            0.000353
           7730.0000            0.000357
           7740.0000            0.000361
           7750.0000            0.000365
           7760.0000            0.000368
           7770.0000            0.000372
           7780.0000            0.000376
           7790.0000            0.000380
           7800.0000            0.000383
           7810.0000            0.000382
           7820.0000            0.000381
           7830.0000            0.000381
           7840.0000            0.000382
           7850.0000            0.000382
           7860.0000            0.000382
           7870.0000            0.000381
           7880.0000            0.000381
           7890.0000            0.000379
           7900.0000            0.000379
           7910.0000            0.000378
           7920.0000            0.000376
           7930.0000            0.000374
           7940.0000            0.000374
           7950.0000            0.000370
           7960.0000            0.000364
           7970.0000            0.000362
           7980.0000            0.000377
           7990.0000            0.000390
           8000.0000            0.000383
