#         Lambda    Transmission
          11380.0000            0.003547
          11384.7998            0.003547
          11389.6992            0.003839
          11394.5000            0.004128
          11399.3994            0.004417
          11404.2002            0.004473
          11409.0000            0.004493
          11413.9004            0.004511
          11418.7002            0.004528
          11423.5996            0.004958
          11428.3994            0.005537
          11433.1992            0.006113
          11438.1006            0.006688
          11442.9004            0.007138
          11447.8008            0.007505
          11452.5996            0.007873
          11457.4004            0.008241
          11462.2998            0.008752
          11467.0996            0.009426
          11472.0000            0.010097
          11476.8008            0.010765
          11481.6006            0.011525
          11486.5000            0.012467
          11491.2998            0.013409
          11496.2002            0.014351
          11501.0000            0.015414
          11505.7998            0.016944
          11510.6992            0.018474
          11515.5000            0.020005
          11520.4004            0.021574
          11525.2002            0.023607
          11530.0000            0.025640
          11534.9004            0.027659
          11539.6992            0.029677
          11544.5996            0.032458
          11549.3994            0.035285
          11554.2002            0.038114
          11559.1006            0.040943
          11563.9004            0.045070
          11568.7998            0.049503
          11573.5996            0.053938
          11578.3994            0.058373
          11583.2998            0.064513
          11588.1006            0.071464
          11593.0000            0.078416
          11597.8008            0.085371
          11602.5996            0.094228
          11607.5000            0.104699
          11612.2998            0.115206
          11617.1992            0.125751
          11622.0000            0.138043
          11626.8008            0.152809
          11631.7002            0.167628
          11636.5000            0.182499
          11641.4004            0.198490
          11646.2002            0.217278
          11651.0000            0.236131
          11655.8994            0.255050
          11660.6992            0.274204
          11665.6006            0.294391
          11670.4004            0.314647
          11675.2002            0.334974
          11680.0996            0.355316
          11684.9004            0.372495
          11689.7998            0.389732
          11694.5996            0.415565
          11699.3994            0.442619
          11704.3008            0.455250
          11709.1006            0.465938
          11714.0000            0.476834
          11718.7998            0.487789
          11723.5996            0.493451
          11728.5000            0.497367
          11733.2998            0.501284
          11738.1992            0.505202
          11743.0000            0.506567
          11747.8008            0.506364
          11752.7002            0.506161
          11757.5000            0.505959
          11762.4004            0.504903
          11767.1992            0.502952
          11772.0000            0.501000
          11776.8994            0.499047
          11781.7002            0.497094
          11786.6006            0.495142
          11791.4004            0.493948
          11796.2002            0.494604
          11801.0996            0.494738
          11805.8994            0.493118
          11810.7998            0.491498
          11815.6006            0.489877
          11820.4004            0.488343
          11825.3008            0.487683
          11830.0996            0.487023
          11835.0000            0.486363
          11839.7998            0.485702
          11844.5996            0.485666
          11849.5000            0.485656
          11854.3008            0.485647
          11859.2002            0.485637
          11864.0000            0.486375
          11868.7998            0.487270
          11873.7002            0.487972
          11878.5000            0.488611
          11883.3994            0.489892
          11888.1992            0.491457
          11893.0000            0.493022
          11897.9004            0.494588
          11902.7002            0.496277
          11907.5996            0.498061
          11912.4004            0.499847
          11917.1992            0.501633
          11922.0996            0.503573
          11926.8994            0.505717
          11931.8008            0.507765
          11936.6006            0.509643
          11941.4004            0.511631
          11946.2998            0.513885
          11951.0996            0.516139
          11956.0000            0.518394
          11960.7998            0.520576
          11965.6006            0.522388
          11970.5000            0.524226
          11975.3008            0.526312
          11980.2002            0.528395
          11985.0000            0.530392
          11989.7998            0.532389
          11994.6992            0.534387
          11999.5000            0.536386
          12004.3994            0.527108
          12009.2002            0.516516
          12014.0000            0.515596
          12018.9004            0.516594
          12023.7002            0.517173
          12028.5996            0.517622
          12033.3994            0.517876
          12038.1992            0.518045
          12043.1006            0.518295
          12047.9004            0.518589
          12052.8008            0.518879
          12057.5996            0.519167
          12062.4004            0.519238
          12067.2998            0.519097
          12072.0996            0.519073
          12077.0000            0.519200
          12081.8008            0.519238
          12086.6006            0.519128
          12091.5000            0.518933
          12096.2998            0.518546
          12101.2002            0.518347
          12106.0000            0.518752
          12110.7998            0.519157
          12115.6992            0.519563
          12120.5000            0.519948
          12125.4004            0.520164
          12130.2002            0.520392
          12135.0000            0.520883
          12139.9004            0.521374
          12144.6992            0.521587
          12149.5996            0.521792
          12154.3994            0.521997
          12159.2002            0.522202
          12164.1006            0.522337
          12168.9004            0.522459
          12173.7998            0.522796
          12178.5996            0.523194
          12183.3994            0.523574
          12188.2998            0.523946
          12193.1006            0.524319
          12198.0000            0.524692
          12202.8008            0.525054
          12207.5996            0.525409
          12212.5000            0.525764
          12217.2998            0.526119
          12222.1992            0.526477
          12227.0000            0.526838
          12231.8008            0.527199
          12236.7002            0.527561
          12241.5000            0.527931
          12246.4004            0.528318
          12251.2002            0.528705
          12256.0000            0.529093
          12260.8994            0.529499
          12265.6992            0.529989
          12270.6006            0.530480
          12275.4004            0.530970
          12280.2002            0.531478
          12285.0996            0.532308
          12289.9004            0.533137
          12294.7998            0.533967
          12299.5996            0.534797
          12304.3994            0.535372
          12309.3008            0.535925
          12314.1006            0.536477
          12319.0000            0.537030
          12323.7998            0.537675
          12328.5996            0.538346
          12333.5000            0.539017
          12338.2998            0.539688
          12343.1992            0.540241
          12348.0000            0.540731
          12352.8008            0.541221
          12357.7002            0.541711
          12362.5000            0.542433
          12367.4004            0.543370
          12372.1992            0.544177
          12377.0000            0.544827
          12381.8994            0.545370
          12386.7002            0.545741
          12391.6006            0.546113
          12396.4004            0.546485
          12401.2002            0.546822
          12406.0996            0.547061
          12410.8994            0.547299
          12415.7998            0.547537
          12420.6006            0.547785
          12425.4004            0.548100
          12430.3008            0.548399
          12435.0996            0.548424
          12440.0000            0.548450
          12444.7998            0.548345
          12449.5996            0.548238
          12454.5000            0.548131
          12459.3008            0.548025
          12464.2002            0.547870
          12469.0000            0.547707
          12473.7998            0.547315
          12478.7002            0.546863
          12483.5000            0.546375
          12488.3994            0.545874
          12493.1992            0.545373
          12498.0000            0.544872
          12502.9004            0.544143
          12507.7002            0.543260
          12512.5996            0.542527
          12517.4004            0.541928
          12522.1992            0.540996
          12527.0996            0.539680
          12531.8994            0.538362
          12536.8008            0.537045
          12541.6006            0.535748
          12546.4004            0.534491
          12551.2998            0.533159
          12556.0996            0.531619
          12561.0000            0.530045
          12565.7998            0.528334
          12570.6006            0.526622
          12575.5000            0.524910
          12580.3008            0.523245
          12585.2002            0.522245
          12590.0000            0.521243
          12594.7998            0.519967
          12599.6992            0.518690
          12604.5000            0.517778
          12609.3994            0.516892
          12614.2002            0.516006
          12619.0000            0.515120
          12623.9004            0.514196
          12628.7002            0.513261
          12633.5996            0.512126
          12638.3994            0.510921
          12643.1992            0.511250
          12648.1006            0.512323
          12652.9004            0.511934
          12657.8008            0.510590
          12662.5996            0.509102
          12667.4004            0.507491
          12672.2998            0.505880
          12677.0996            0.504268
          12682.0000            0.503056
          12686.8008            0.502433
          12691.6006            0.501720
          12696.5000            0.500833
          12701.2998            0.500105
          12706.2002            0.499801
          12711.0000            0.499552
          12715.7998            0.499509
          12720.6992            0.499448
          12725.5000            0.499272
          12730.4004            0.499096
          12735.2002            0.498920
          12740.0000            0.498744
          12744.9004            0.498512
          12749.6992            0.498279
          12754.5996            0.497801
          12759.3994            0.497307
          12764.2002            0.496531
          12769.1006            0.495713
          12773.9004            0.494896
          12778.7998            0.494079
          12783.5996            0.494123
          12788.3994            0.494464
          12793.2998            0.494630
          12798.1006            0.494714
          12803.0000            0.495512
          12807.8008            0.496766
          12812.5996            0.498161
          12817.5000            0.499676
          12822.2998            0.501124
          12827.1992            0.502499
          12832.0000            0.503873
          12836.8008            0.505248
          12841.7002            0.506432
          12846.5000            0.507254
          12851.4004            0.508002
          12856.2002            0.508561
          12861.0000            0.509082
          12865.8994            0.509465
          12870.6992            0.509810
          12875.6006            0.509928
