name,ra,dec,JAB,label,spectral type,redshift,source,note,run
J0739+2328,114.9565,23.4737,20.49,star,M9.5,,RN,,lris-2201
J0759+2811,119.7644,28.1922,19.98,star,M6,,RN,,lris-2201
J0820+2412,125.0318,24.2079,20.26,problematic,,,RN,"wrong target, candidate unobserved",lris-2201
J0831+2558,127.7506,25.9824,20.03,star,M6,,RN,,lris-2201
J0849+2601,132.4605,26.0252,20.49,star,M8,,EB,,lris-2201
J0936+3244,144.0621,32.7369,20.11,star,M8,,RN,,lris-2201
J0936+3346,144.1918,33.7672,20.14,star,M7,,RN,,lris-2201
J0938+3332,144.7305,33.55,20.25,star,M6,,RN,,lris-2201
J1003-2610,150.9141,-26.1712,-1.0,star,M6,,EB,,lris-2201
J1030-0031,157.6601,-0.5216,19.95,star,M9.5,,RN,,lris-2201
J1145+0933,176.3326,9.5629,-1.0,uNQ,,,RN,coadd2d; low S/N but unlikely to be qso,lris-2201
J1146+0039,176.506,0.6609,20.33,uNQ,,,RN,,lris-2201
J1206-0051,181.5325,-0.8515,20.99,uNQ,,,RN,coadd2d; low S/N but unlikely to be qso,lris-2201
J1209+0135,182.3079,1.5873,20.2,star,L0.5,,RN,,lris-2201
J1241-0134,190.4628,-1.5691,20.26,star,M4.5,,RN,,lris-2201
J1246-3045,191.5318,-30.7624,-1.0,star,M6,,EB,,lris-2201
J1256-0306,194.1415,-3.1166,21.28,uNQ,,,RN,,lris-2201
J1305-1549,196.4318,-15.8288,-1.0,star,M8,,EB,,lris-2201
J1326+0927,201.6527,9.4554,20.12,star,M9,,RN,,lris-2201
J0810+2352,122.6679,23.8764,20.2,star,M9,,RN,,lris-2203
J0850+0146,132.5352,1.7786,20.95,star,L2,,RN,,lris-2203
J0901+2906,135.4089,29.1154,20.59,QSO,,6.1,RN,z~6.1,lris-2203
J0911+0022,137.9179,0.3785,21.29,star,M9,,RN,,lris-2203
J0947+0111,146.9812,1.1908,20.57,star,M8,,RN,,lris-2203
J1100+0203,165.0121,2.0501,21.52,uNQ,,,RN,coadd2d; low S/N but unlikely to be qso,lris-2203
J1143-0248,175.9838,-2.8082,21.76,uNQ,,,RN,,lris-2203
J1153-2239,178.3398,-22.6503,-1.0,star,M9,,EB,,lris-2203
J1200+0112,180.0132,1.204,21.67,uNQ,,,RN,coadd2d; low S/N but unlikely to be qso,lris-2203
J1223+0114,185.7974,1.2348,20.82,star,M8,,RN,,lris-2203
J1233-2807,188.4635,-28.1307,-1.0,star,M9,,EB,,lris-2203
J1250+0347,192.6192,3.7842,21.51,uNQ,,,RN,,lris-2203
J1319+0101,199.8647,1.0323,21.43,QSO,,5.7,RN,z~5.7,lris-2203
