offset,JAB,objframe,skyframe,note,flag
J0951+5146,16.743875,51,50,good (feige),0
J1003+5424,18.537920,55,54,good (feige),0
J1124+0310,19.449362,61,60,good,1
J1150-0143,15.278945,65,64,good,1
J1202+0129,19.264778,85,84,good,1
J1218+5254,16.848807,101,100,good (close to edge feige),0
J1318+2932,19.156647,105,104,too close to edge,2
J1315+1533,16.974504,119,118,good,1
J1333+0919,18.330868,131,130,too close to edge,2
J1332+0150,18.959614,144,143,good,1
J1511+0344,17.018526,160,159,good,1
J1424+2527,17.574005,183,182,two sources? feige,0
J1544+3138,17.729967,202,201,non-symmetric (peak not at center feige),0
J1447+5839,17.720618,208,207,too close to edge feige,0
