offset,JAB,ra,dec,objframe,skyframe,flag,note
J0946+4111,16.520942,146.7382011,41.169569,41,40,2,feige-good
J0951+5146,16.743875,147.8455727,51.7714734,51,50,2,feige-good
J1003+5424,18.537920,150.9307471,54.405053,55,54,2,feige-good
J1124+0310,19.449362,171.1471468,3.184787024,61,60,1,riccardo-good
J1150-0143,15.278945,177.6961656,-1.716913974,65,64,1,riccardo-good
J1202+0129,19.264778,180.6697254,1.481453124,85,84,1,riccardo-good
J1218+5254,16.848807,184.5778491,52.9207116,101,100,2,feige-edge
J1315+1533,16.974504,198.9526922,15.55173143,119,118,1,riccardo-good
J1333+0919,18.330868,203.3993025,9.336132426,131,130,1,riccardo-edge
J1332+0150,18.959614,203.2319608,1.83545513,144,143,1,riccardo-good
J1511+0344,17.018526,227.9341643,3.729598161,160,159,1,riccardo-good
J1544+3138,17.729967,236.0059456,31.6248927,202,201,2,feige-good
J1447+5839,17.720618,221.8959713,58.6383752,208,207,2,feige-edge
