offset,JAB,ra,dec,objframe,skyframe,flag,note,ra_2,dec_2,yAperMag3,yAperMag3Err,jAperMag3,jAperMag3Err,hAperMag3,hAperMag3Err,ksAperMag3,ksAperMag3Err,Separation
J0946+4111,16.520942,146.7382011,41.169569,41,40,2,feige-good,146.73819,41.169533,,,16.589999809265137,0.05999999865889549,16.378000373840333,0.09000000357627869,16.584000434875488,0.0949999988079071,0.13304508818797725
J0951+5146,16.743875,147.8455727,51.7714734,51,50,2,feige-good,147.845775,51.771492,,,16.813999786376954,0.09000000357627869,16.411999816894532,0.10499999672174454,16.709000434875488,0.11100000143051147,0.45560664756703173
J1124+0310,19.449362,171.1471468,3.184787024,61,60,1,riccardo-good,171.1471468370662,3.1847870241412926,20.513851,0.06129278,20.386362000000002,0.055862848,20.014552000000002,0.07848669,19.899637,0.089980945,1.332331456404353E-4
J1150-0143,15.278945,177.6961656,-1.716913974,65,64,1,riccardo-good,177.696175,-1.71691,,,16.266999855041504,0.04800000041723251,16.052000160217286,0.054999999701976776,16.29800018310547,0.09099999815225601,0.03672588608571264
J1202+0129,19.264778,180.6697254,1.481453124,85,84,1,riccardo-good,180.6697253704948,1.4814531238485757,20.547113,0.06820984,20.201778,0.048141435,20.41682,0.07232876,20.424018,0.11404182,1.061845848943321E-4
J1218+5254,16.848807,184.5778491,52.9207116,101,100,2,feige-edge,184.577762,52.920738,,,16.827999725341797,0.0689999982714653,16.566999549865724,0.07199999690055847,16.680999603271484,0.0949999988079071,0.21159641297792695
J1315+1533,16.974504,198.9526922,15.55173143,119,118,1,riccardo-good,198.95269223802603,15.551731432544457,17.797061,0.011917952,17.912504,0.011044211,18.05432,0.022916486,18.557131,0.03732661,1.321996608530792E-4
J1332+0150,18.959614,203.2319608,1.83545513,144,143,1,riccardo-good,203.23196083014633,1.8354551299674795,20.042839999999998,0.03580486,19.896614,0.036679823,19.752887,0.07401505,19.694795,0.06910858,1.0847120728416143E-4
J1333+0919,18.330868,203.3993025,9.336132426,131,130,1,riccardo-edge,203.39930253256952,9.336132425792128,19.697072,0.06390996,19.268867999999998,0.03194792,18.911923,0.03331302,18.614901,0.033797875,1.1569953506217708E-4
J1447+5839,17.720618,221.8959713,58.6383752,208,207,2,feige-edge,221.895936,58.638359,,,17.431000366210938,0.11900000274181366,17.67699920654297,0.20100000500679016,17.607000198364258,0.19300000369548798,0.08817799530429589
J1511+0344,17.018526,227.9341643,3.729598161,160,159,1,riccardo-good,227.9341642633637,3.729598161137998,18.095813,0.017359922,17.956526,0.01658562,17.879381000000002,0.0243171,18.379782,0.051273752,1.3161229451445652E-4
J1544+3138,17.729967,236.0059456,31.6248927,202,201,2,feige-good,236.00594,31.624834,,,17.65099967956543,0.15199999511241913,17.34700023651123,0.1940000057220459,17.995000686645508,,0.21201608862244417
