offset,JAB,ra_1,dec_1,objframe,skyframe,flag,note,ra_2,dec_2,yAperMag3,yAperMag3Err,jAperMag3,jAperMag3Err,hAperMag3,hAperMag3Err,kAperMag3,kAperMag3Err,Separation
J2359+1230,19.490526,359.9768843,12.5013373,17114,17049,1,Riccardo,359.9768843371875,12.501337269270614,20.115592,0.105173685,19.490526,0.07977652,-9.99999498621E8,-9.999995E8,-9.999994981E8,-9.999995E8,1.7123332679107737E-4
J2359+1445,20.311268,359.9263155,14.7571333,18488,18423,1,Riccardo,359.9263155044682,14.757133271789254,20.743068,0.18700515,20.311268,0.17162177,19.847527000000003,0.14639494,-9.999994981E8,-9.999995E8,1.0274302056424864E-4
J0000+0239,19.632197,0.1353953,2.6572649,19778,19724,1,Riccardo,0.13539525148658754,2.657264909670082,-9.99999499366E8,-9.999995E8,19.632196999999998,0.10255957,-9.99999498621E8,-9.999995E8,19.840037,0.15753528,1.778998563485188E-4
J0111+0756,20.549113,17.7567913,7.9450597,20376,20322,1,Riccardo (edge),17.756791281941684,7.945059651856797,-9.99999499366E8,-9.999995E8,20.549113,0.19538534,-9.99999498621E8,-9.999995E8,-9.999994981E8,-9.999995E8,1.848886712596345E-4
J0200+1122,20.476431,30.218802,11.3742084,21555,21500,1,Riccardo (close to moon),30.218801983476997,11.374208403415984,-9.99999499366E8,-9.999995E8,20.476430999999998,0.20652431,-9.99999498621E8,-9.999995E8,20.227971999999998,0.21633954,5.9597129376555664E-5
J2359+0111,19.754957,359.9890447,1.1975388,22429,22375,1,Riccardo,359.98904474665557,1.1975387508619326,-9.99999499366E8,-9.999995E8,19.754956999999997,0.120444775,-9.99999498621E8,-9.999995E8,19.842232,0.18013754,2.4390730577767152E-4
J0736+2311,20.582403,114.1863268,23.189807,38304,38248,1,Riccardo (extended? also not in obs plan),114.18632682256835,23.189807022544905,20.724252,0.18840766,20.582403,0.12520848,-9.99999498621E8,-9.999995E8,-9.999994981E8,-9.999995E8,1.1029317284184051E-4
J0838-0112,20.584364,129.5247128,-1.2045518,38931,38877,1,Riccardo,129.5247128065986,-1.2045518286799335,-9.99999499366E8,-9.999995E8,20.584363999999997,0.1420419,-9.99999498621E8,-9.999995E8,-9.999994981E8,-9.999995E8,1.0594406963611904E-4
J0847+0139,20.507427,131.9700407,1.6562545,41136,41081,1,Riccardo,131.9700407031473,1.6562544910264099,-9.99999499366E8,-9.999995E8,20.507427,0.1424694,-9.99999498621E8,-9.999995E8,-9.999994981E8,-9.999995E8,3.4232675208117195E-5
J0854+2908,20.71449,133.6171092,29.1425288,44109,44055,1,Riccardo,133.61710919855128,29.142528787501494,21.235524,0.20430827,20.714489999999998,0.13596918,-9.99999498621E8,-9.999995E8,-9.999994981E8,-9.999995E8,4.522461235713691E-5
J0950+1151,20.544895,147.6642335,11.8519036,49279,49235,1,Riccardo,147.66423345104582,11.851903558417744,-9.99999499366E8,-9.999995E8,20.544895,0.21355885,-9.99999498621E8,-9.999995E8,-9.999994981E8,-9.999995E8,2.2838031365203642E-4
J1024-0037,20.744416,156.2023712,-0.6266617,49983,49929,1,Riccardo,156.20237122895094,-0.6266617225060085,19.800142,0.07407546,20.744415999999998,0.18738572,-9.99999498621E8,-9.999995E8,-9.999994981E8,-9.999995E8,1.3200657037613586E-4
